doctor_id,label,rate,text_step03,text_step04,word_delta_03_to_04
110102,1,5.0,بسیار دکتر خوب و شنوا و باتجربه‌ای هستن,بسیار دکتر خوب و شنوا و باتجربه‌ای هستن,0
262889,1,5.0,عالی بودند,عالی بودند,0
220532,1,5.0,استرس واظطراب وحال خیلی بد الان 3 ساله تحت نظر ایشون هستم وخیلی راضیم,استرس واظطراب وحال خیلی بد الان 3 ساله تحت نظر ایشون هستم وخیلی راضیم,0
223596,0,2.5,در حال درمان,در حال درمان,0
291009,1,5.0,بسیار عالی,بسیار عالی,0
121861,1,5.0,ایشون بسیارحاذق هستند وتاحالا هیچ تشخیص نادرستی رو از ایشون ندیدم,ایشون بسیارحاذق هستند وتاحالا هیچ تشخیص نادرستی رو از ایشون ندیدم,0
270048,1,5.0,عمل مجرای ادرار فرزندم در بیمارستان چمران,عمل مجرای ادرار فرزندم در بیمارستان چمران,0
113544,1,5.0,بارداری و زایمانم دکترم شما بودین بهترین هستین اخلاق خوب و حرفه‌ای در کارتون خدابهتون سلامتی بده دختر من بادستان پراز مهر شما بدنیا اومد هرچقدر ازتون تعریف کنم کمه بهترینید دکتر جونم,بارداری و زایمانم دکترم شما بودین بهترین هستین اخلاق خوب و حرفه‌ای در کارتون خدابهتون سلامتی بده دختر من بادستان پراز مهر شما بدنیا اومد هرچقدر ازتون تعریف کنم کمه بهترینید دکتر جونم,0
219073,1,5.0,بسیار عالی,بسیار عالی,0
235783,-1,0.0,عدم رضایت,عدم رضایت,0
110161,1,5.0,دکتر بسیار عالی هستن بنده پای پرانتزی عمل کردم و راضی هستم,دکتر بسیار عالی هستن بنده پای پرانتزی عمل کردم و راضی هستم,0
302141,1,5.0,بسیار بسیار عالی,بسیار بسیار عالی,0
323550,1,5.0,کیست درسمت راست سر,کیست درسمت راست سر,0
325844,1,5.0,خیلی دکتر خوبی عالی,خیلی دکتر خوبی عالی,0
200998,1,5.0,درسال 84 عمل کردم گردن خیلی راضی هستم,درسال 84 عمل کردم گردن خیلی راضی هستم,0
211644,1,5.0,تشنج صرع,تشنج صرع,0
129838,1,5.0,خوب بود دکتر,خوب بود دکتر,0
299975,1,5.0,بسیار عالی,بسیار عالی,0
277765,1,5.0,عالی کاربلد و متخصص,عالی کاربلد و متخصص,0
304018,1,5.0,عالی هستند برای درمان جوش,عالی هستند برای درمان جوش,0
108782,1,5.0,خیلی دکتر باسواد و باعلمی هستند و تشخیصشون عالیه,خیلی دکتر باسواد و باعلمی هستند و تشخیصشون عالیه,0
199002,1,5.0,عفونت داشتم,عفونت داشتم,0
197495,1,5.0,دکتر خوبی هستند,دکتر خوبی هستند,0
109440,1,5.0,با حوصله مهربان سوالات بیمار را با آرامش خاصی جواب می‌دهند که خیال بیمار راحت می‌شود,با حوصله مهربان سوالات بیمار را با آرامش خاصی جواب می‌دهند که خیال بیمار راحت می‌شود,0
110507,1,5.0,بسیار عالی,بسیار عالی,0
220440,1,5.0,عالی هستند,عالی هستند,0
335504,1,5.0,من 4 ساله بیمارشون هستم بسیار پزشک خوش‌اخلاق و خوش‌برخورد و حرفه‌ای هستند همیشه بدون هیچ استرسی از مطبشون بیرون میام اینقدر که انرژیشون خوبه و بهم انرژی خوب منتقل میکنن وقتی ویزیت میشم هیچ نگرانی از بیماری ندارم واقعا عالی هستند,من 4 ساله بیمارشون هستم بسیار پزشک خوش‌اخلاق و خوش‌برخورد و حرفه‌ای هستند همیشه بدون هیچ استرسی از مطبشون بیرون میام اینقدر که انرژیشون خوبه و بهم انرژی خوب منتقل میکنن وقتی ویزیت میشم هیچ نگرانی از بیماری ندارم واقعا عالی هستند,0
303239,1,5.0,عمل لوزه,عمل لوزه,0
122973,0,2.5,من برای چک اپ رفتم خوب و خوش‌برخورد بودن,من برای چک اپ رفتم خوب و خوش‌برخورد بودن,0
255309,1,5.0,گوش‌درد,گوش‌درد,0
280811,1,5.0,ایشون عالی بودن وبایه نسخه دردی که همسرم وعذاب میدادوازبین بردن وبدرستی درمانشون کردن فوق‌العاده عالی هستن,ایشون عالی بودن وبایه نسخه دردی که همسرم وعذاب میدادوازبین بردن وبدرستی درمانشون کردن فوق‌العاده عالی هستن,0
304097,1,5.0,مشکل حلق,مشکل حلق,0
315119,1,5.0,برای مشکل میگرن به خانم دکتر مراجعه کردم و تحت درمان هستم با مصرف داروهایی که تجویز کردند سردرد هام کمتر شده,برای مشکل میگرن به خانم دکتر مراجعه کردم و تحت درمان هستم با مصرف داروهایی که تجویز کردند سردرد هام کمتر شده,0
305568,0,2.5,ایرادی که خیلی از دوستان وارد دونستن و درست هم هست معطلی زیاد در مطب دکتر هست البته خدماتی که ارائه میدن هم گران هست در مفصل زانوهام دکتر برام تزریق انجام داد امیدوارم نتیجه‌بخش باشه که البته این نکته در درازمدت مشخص خواهد شد برخورد دکتر و پرسنل خوب هست و اینکه سنجش تراکم استخوان و فیزیوتراپی هم دارن خوبه,ایرادی که خیلی از دوستان وارد دونستن و درست هم هست معطلی زیاد در مطب دکتر هست البته خدماتی که ارائه میدن هم گران هست در مفصل زانوهام دکتر برام تزریق انجام داد امیدوارم نتیجه‌بخش باشه که البته این نکته در درازمدت مشخص خواهد شد برخورد دکتر و پرسنل خوب هست و اینکه سنجش تراکم استخوان و فیزیوتراپی هم دارن خوبه,0
259527,0,2.5,پرزنت خوب توسط دکتر زمان خیلی طولانی برای ویزیت و عدم پاسخ توسط شماره‌های اعلامی درسایت آنلاین,پرزنت خوب توسط دکتر زمان خیلی طولانی برای ویزیت و عدم پاسخ توسط شماره‌های اعلامی درسایت آنلاین,0
115870,1,5.0,بسیار متعهد و حاذق,بسیار متعهد و حاذق,0
120963,-1,0.0,عدم رضایت,عدم رضایت,0
220532,1,5.0,خیلی خوش‌برخورد و با حوصله تشخیص عالی,خیلی خوش‌برخورد و با حوصله تشخیص عالی,0
277071,1,5.0,دکتر خوبییت و با حوصله,دکتر خوبییت و با حوصله,0
106337,1,5.0,عالیه بهترین دکترن وخیلی هوای مریضاشون دارن,عالیه بهترین دکترن وخیلی هوای مریضاشون دارن,0
120121,-1,0.0,عدم رضایت,عدم رضایت,0
280559,0,2.5,خوب بود,خوب بود,0
199002,1,5.0,خیلی با حوصله هستن فوق‌العاده برخورد خوبی با مریض دارن,خیلی با حوصله هستن فوق‌العاده برخورد خوبی با مریض دارن,0
322367,1,5.0,بسیار پزشک خوبی هستند با دو نسخه کامل مشکلم رفع شد,بسیار پزشک خوبی هستند با دو نسخه کامل مشکلم رفع شد,0
213003,1,5.0,دکتر بسیار خوب و حاذقی هستند,دکتر بسیار خوب و حاذقی هستند,0
289583,1,5.0,آندومت,آندومت,0
321818,1,5.0,تحت درمان,تحت درمان,0
224349,1,5.0,عاالی,عاالی,0
