doctor_id,label,rate,text_step04,tok_all,tok_nostop,tok_all_count,tok_nostop_count
129838,1,5.0,تازه ویزیت شدم نتیجه را خواهم گفت,تازه ویزیت شدم نتیجه را خواهم_گفت,تازه ویزیت شدم نتیجه خواهم_گفت,6,5
305568,0,2.5,خوب بود,خوب بود,,2,0
305568,1,5.0,عالیی,عالیی,عالیی,1,1
110507,1,5.0,عفونت و نتیجه خوب,عفونت نتیجه خوب,عفونت نتیجه,3,2
199002,1,5.0,عالی عاشقشم,عالی عاشقشم,عاشقشم,2,1
114729,1,5.0,اینترنت,اینترنت,اینترنت,1,1
113473,1,5.0,عاالی بسیار حاذق و مهربان,عاالی بسیار حاذق مهربان,عاالی حاذق مهربان,4,3
311451,1,5.0,اخلاق عالی برخورد عالی وقت گذاشتن عالی تشخیص عالی محیط عالی اخلاق منشی عالی,اخلاق عالی برخورد عالی وقت گذاشتن عالی تشخیص عالی محیط عالی اخلاق منشی عالی,اخلاق برخورد وقت گذاشتن تشخیص محیط اخلاق منشی,14,8
256400,1,5.0,خیلی خوبهه,خیلی خوبهه,خوبهه,2,1
212732,1,5.0,دکتر خوب با دانش پر حوصله هستن ایشون,دکتر خوب با دانش پر حوصله هستن ایشون,دکتر دانش حوصله هستن ایشون,8,5
210903,1,5.0,در حال درمان تا الان نتیجه خوب,در حال درمان تا الان نتیجه خوب,درمان الان نتیجه,7,3
277071,1,5.0,دکترخیلی خوب وبرجسته هستن من خیلی راضیم,دکترخیلی خوب وبرجسته هستن من خیلی راضیم,دکترخیلی وبرجسته هستن راضیم,7,4
315198,0,2.5,پزشک حاذقی می‌باشند,پزشک حاذقی می‌باشند,پزشک حاذقی می‌باشند,3,3
131109,1,5.0,بسیار پزشک حاذقی هستند طی دو جلسه کاملا دستم خوب شد,بسیار پزشک حاذقی هستند طی دو جلسه کاملا دستم خوب شد,پزشک حاذقی جلسه دستم,11,4
115870,1,5.0,بسیار پزشک حازقی هستند وبا اخلاق,بسیار پزشک حازقی هستند وبا اخلاق,پزشک حازقی وبا اخلاق,6,4
319781,0,2.5,برای جوش صورت,برای جوش صورت,جوش صورت,3,2
319781,1,5.0,من پیش ایشون کار خدمات پس ستی انجام دادم از کارشون خیلی راضی بودم,من پیش ایشون کار خدمات پس ستی انجام دادم از کارشون خیلی راضی بودم,ایشون کار خدمات ستی انجام دادم کارشون راضی بودم,14,9
110876,0,2.5,مشکل دیسک,مشکل دیسک,مشکل دیسک,2,2
108484,1,5.0,من که خیلی ازش راضی هستم دیسکمو پیش خودشون عمل کردم,من که خیلی ازش راضی هستم دیسکمو پیش خودشون عمل کردم,ازش راضی هستم دیسکمو خودشون عمل,11,6
129838,1,5.0,درد کمر و درد لگن داشتم ک با داروهایی ک دادان رو ب بهبودی هستم,درد کمر درد لگن داشتم با داروهایی دادان رو بهبودی هستم,درد کمر درد لگن داشتم داروهایی دادان بهبودی هستم,11,9
239856,1,5.0,بهترین,بهترین,,1,0
120963,1,5.0,بیش از 3 ساله که خودم و خانواده‌ام جهت چکاپ و رفع مشکلات مقطعی گوش و حلق و بینی خدمت ایشان می‌رسیم و با اولین مراجعه نتیجه مطلوب عایدمون شده واقعا از نظر تشخیص بیماری و ارائه بهترین راه درمان اون بیماری نمونه هستن خدا حفظشون کنه,بیش از ساله که خودم خانواده‌ام جهت چکاپ رفع مشکلات مقطعی گوش حلق بینی خدمت ایشان می‌رسیم با اولین مراجعه نتیجه مطلوب عایدمون شده واقعا از نظر تشخیص بیماری ارائه بهترین راه درمان اون بیماری نمونه هستن خدا حفظشون کنه,خودم خانواده‌ام جهت چکاپ رفع مشکلات مقطعی گوش حلق بینی خدمت می‌رسیم مراجعه نتیجه مطلوب عایدمون واقعا تشخیص بیماری ارائه درمان اون بیماری نمونه هستن خدا حفظشون کنه,40,28
269066,1,5.0,عالی پنج ستاره,عالی پنج ستاره,ستاره,3,1
319524,1,5.0,آندوسکوپی سینوس عمل وپ,آندوسکوپی سینوس عمل وپ,آندوسکوپی سینوس عمل وپ,4,4
336647,1,5.0,گوشدرد,گوشدرد,گوشدرد,1,1
238666,1,5.0,واسکولیت غیر قابل‌درمان ودرگیری عروق,واسکولیت غیر قابل‌درمان ودرگیری عروق,واسکولیت قابل‌درمان ودرگیری عروق,5,4
229999,1,5.0,در حال درمان,در حال درمان,درمان,3,1
191500,-1,0.0,عدم رضایت,عدم رضایت,رضایت,2,1
126812,1,5.0,جراحی لگن,جراحی لگن,جراحی لگن,2,2
257029,1,5.0,عفونت گوش پدرم داشت درمان شد,عفونت گوش پدرم داشت درمان شد,عفونت گوش پدرم درمان,6,4
124403,1,5.0,درد زانو تزریق سلول بنیادی,درد زانو تزریق سلول بنیادی,درد زانو تزریق سلول بنیادی,5,5
221983,1,5.0,عالی بود خدایی دستش شفا بود,عالی بود خدایی دستش شفا بود,خدایی دستش شفا,6,3
262889,1,5.0,گیلن باره,گیلن باره,گیلن,2,1
222252,1,5.0,دکتر خوبی هستن من راضی بودم,دکتر خوبی هستن من راضی بودم,دکتر هستن راضی بودم,6,4
229918,1,5.0,بسیار حاذق و خوش‌اخلاق,بسیار حاذق خوش‌اخلاق,حاذق خوش‌اخلاق,3,2
315119,1,5.0,بسیار صبور و خوش‌برخورد بنده راضی هستم,بسیار صبور خوش‌برخورد بنده راضی هستم,صبور خوش‌برخورد بنده راضی هستم,6,5
303951,1,5.0,عمل اندوسکپی,عمل اندوسکپی,عمل اندوسکپی,2,2
219108,1,5.0,عفونت کلیه,عفونت کلیه,عفونت کلیه,2,2
314185,-1,0.0,عدم رضایت,عدم رضایت,رضایت,2,1
198884,1,5.0,خشکی پای دخترم,خشکی پای دخترم,خشکی پای دخترم,3,3
113544,1,5.0,من چند بار ب ایشون مراجعه کردم پزشک حاذق و بسیار خوش‌اخلاق و مهربان هستن خدا حفظشون کنه,من چند بار ایشون مراجعه کردم پزشک حاذق بسیار خوش‌اخلاق مهربان هستن خدا حفظشون کنه,ایشون مراجعه پزشک حاذق خوش‌اخلاق مهربان هستن خدا حفظشون کنه,15,10
255219,1,5.0,دکتر خوبیه,دکتر خوبیه,دکتر خوبیه,2,2
224349,1,5.0,سینوزیت,سینوزیت,سینوزیت,1,1
116462,1,5.0,خیلی راضی بودم,خیلی راضی بودم,راضی بودم,3,2
319042,1,5.0,بسیار عالی,بسیار عالی,,2,0
277765,1,5.0,عاالی و بسیار حاذق,عاالی بسیار حاذق,عاالی حاذق,3,2
129838,1,5.0,تجربه‌ای نداشتم,تجربه‌ای نداشتم,تجربه‌ای نداشتم,2,2
307581,1,5.0,دکتر پدرم بودن,دکتر پدرم بودن,دکتر پدرم,3,2
113197,1,5.0,بیماری‌ام اس داشتم تحت درمانم خدا رو شکر راضیم یکم بهتر شدم فعلا درمانمو تازه شروع کردم,بیماری‌ام اس داشتم تحت درمانم خدا رو شکر راضیم یکم بهتر شدم فعلا درمانمو تازه شروع کردم,بیماری‌ام اس داشتم درمانم خدا شکر راضیم یکم شدم فعلا درمانمو تازه,17,12
239724,1,5.0,مشکل زانودرد,مشکل زانودرد,مشکل زانودرد,2,2
250071,0,2.5,اشیل پا داشتم,اشیل پا داشتم,اشیل پا داشتم,3,3
321818,1,5.0,اشتا معرفی کرذند,اشتا معرفی کرذند,اشتا معرفی کرذند,3,3
114729,1,5.0,تحت درمانم,تحت درمانم,درمانم,2,1
262889,1,5.0,بسیار دکتر عالی هستند,بسیار دکتر عالی هستند,دکتر,4,1
113544,1,5.0,عالی بسیار با اخلاق,عالی بسیار با اخلاق,اخلاق,4,1
126182,1,5.0,بسیار خوب,بسیار خوب,,2,0
238352,1,5.0,مشکل اگزمای پوستی قدیمی داشتم و با یه نسخه وچند بار استفاده کاملا برطرف شد سپاس از خانم دکتر,مشکل اگزمای پوستی قدیمی داشتم با یه نسخه وچند بار استفاده کاملا برطرف شد سپاس از خانم دکتر,مشکل اگزمای پوستی قدیمی داشتم یه نسخه وچند استفاده برطرف سپاس خانم دکتر,18,13
110161,1,5.0,عاالی,عاالی,عاالی,1,1
322198,1,5.0,جرم‌گیری گوش رضایت کامل,جرم‌گیری گوش رضایت کامل,جرم‌گیری گوش رضایت,4,3
328517,1,5.0,بابت کف پای صاف مراجعه کردم و ایشون با برخورد عالی تشخیص عالی هم داشتن,بابت کف پای صاف مراجعه کردم ایشون با برخورد عالی تشخیص عالی هم داشتن,بابت کف پای صاف مراجعه ایشون برخورد تشخیص,14,8
280545,1,5.0,سلام دکتر بسیار مهربان و خوش‌اخلاق و خیلی قشنگ توضیح داد در مورد مشکلم و من رو راهنمایی کرد من خیلی راضی بودم ازشون,سلام دکتر بسیار مهربان خوش‌اخلاق خیلی قشنگ توضیح داد در مورد مشکلم من رو راهنمایی کرد من خیلی راضی بودم ازشون,سلام دکتر مهربان خوش‌اخلاق قشنگ توضیح مشکلم راهنمایی راضی بودم ازشون,21,11
220440,1,5.0,عالی عالی,عالی عالی,,2,0
334263,-1,0.0,عدم رضایت,عدم رضایت,رضایت,2,1
314185,0,2.5,با اینکه متخصص هستن اما تشخیص و نوع درمان ضعیف هستن من مشکلم با پزشک عمومی رفع شد,با اینکه متخصص هستن اما تشخیص نوع درمان ضعیف هستن من مشکلم با پزشک عمومی رفع شد,متخصص هستن تشخیص درمان ضعیف هستن مشکلم پزشک عمومی رفع,17,10
325407,1,5.0,عالی بود,عالی بود,,2,0
108782,1,5.0,دوبار مراجعه کردم اولین بار جهت زگیل تناسلی و دومین بار تاخیر پریود بود که هر دو مورد نتیجه خوبی دریافت کردم,دوبار مراجعه کردم اولین بار جهت زگیل تناسلی دومین بار تاخیر پریود بود که هر دو مورد نتیجه خوبی دریافت کردم,دوبار مراجعه جهت زگیل تناسلی دومین تاخیر پریود نتیجه دریافت,21,10
106337,1,5.0,تجربه ویزیت نتیجه رضایت,تجربه ویزیت نتیجه رضایت,تجربه ویزیت نتیجه رضایت,4,4
290593,0,2.5,با داروهای خانم دکتر بسیار بهتر شدم خیلی حالم خوبه,با داروهای خانم دکتر بسیار بهتر شدم خیلی حالم خوبه,داروهای خانم دکتر شدم حالم خوبه,10,6
223843,1,5.0,بزرگی پروستات,بزرگی پروستات,بزرگی پروستات,2,2
264420,1,5.0,خوب بود,خوب بود,,2,0
302119,1,5.0,بسیار صبور پر حوصله و دقیق,بسیار صبور پر حوصله دقیق,صبور حوصله دقیق,5,3
207435,1,5.0,بسیار عالی عالی عالی,بسیار عالی عالی عالی,,4,0
268719,1,5.0,درد گردن,درد گردن,درد گردن,2,2
232465,1,5.0,عالی بودند,عالی بودند,,2,0
110617,1,5.0,مشکل پوستی و قارچی داشتم بخوبی مداوا شده‌ام,مشکل پوستی قارچی داشتم بخوبی مداوا شده‌ام,مشکل پوستی قارچی داشتم بخوبی مداوا شده‌ام,7,7
239867,1,5.0,خوب بو,خوب بو,بو,2,1
181690,1,5.0,بهترین دکتر هستن با اخلاق و مهربان و متخصص در تشخیص بیماری به همه پیشنهاد می‌کنم,بهترین دکتر هستن با اخلاق مهربان متخصص در تشخیص بیماری به همه پیشنهاد می‌کنم,دکتر هستن اخلاق مهربان متخصص تشخیص بیماری پیشنهاد,14,8
303951,0,2.5,اسید معده گلو درد دارو مصرف کردم بدون نتیجه,اسید معده گلو درد دارو مصرف کردم بدون نتیجه,اسید معده گلو درد دارو مصرف بدون نتیجه,9,8
223596,1,5.0,بسیار خوب,بسیار خوب,,2,0
220532,1,5.0,بسیار خاذق وخوش اخلاق,بسیار خاذق وخوش اخلاق,خاذق وخوش اخلاق,4,3
105720,1,5.0,حیلی عالیه,حیلی عالیه,حیلی عالیه,2,2
319012,1,5.0,من برای پدرم وقت گرفتم بسیار راضی بودن دکتر با حوصله و خوبی هستن ایشون,من برای پدرم وقت گرفتم بسیار راضی بودن دکتر با حوصله خوبی هستن ایشون,پدرم وقت گرفتم راضی دکتر حوصله هستن ایشون,14,8
289583,1,5.0,تحت درمان,تحت درمان,درمان,2,1
307581,0,2.5,فعلا در حال درمانم,فعلا در حال درمانم,فعلا درمانم,4,2
219108,1,5.0,دکترحاذقی هستندوراضی هستم تحت درمانم,دکترحاذقی هستندوراضی هستم تحت درمانم,دکترحاذقی هستندوراضی هستم درمانم,5,4
110876,1,5.0,گرفتی کانال دست عمل شدم خیلی بهترم,گرفتی کانال دست عمل شدم خیلی بهترم,گرفتی کانال دست عمل شدم بهترم,7,6
122973,1,5.0,دو سال هست که پزشک من هستن و راضی هستم,دو سال هست که پزشک من هستن راضی هستم,سال هست پزشک هستن راضی هستم,9,6
239005,1,5.0,خیلی خوب و عالی تشخیص دادم ند,خیلی خوب عالی تشخیص دادم ند,تشخیص دادم ند,6,3
127452,0,2.5,د حال درمان,حال درمان,درمان,2,1
275481,1,5.0,جراحی بینی انجام دادم الان 6 ساله گذشته کاملا راضی هستم,جراحی بینی انجام دادم الان ساله گذشته کاملا راضی هستم,جراحی بینی انجام دادم الان گذشته راضی هستم,10,8
280811,1,5.0,بسیار عالی,بسیار عالی,,2,0
239856,1,5.0,سلام پزشک مجرب متخصص متعهد که علم را با اخلاق عالی در هم آمیخته,سلام پزشک مجرب متخصص متعهد که علم را با اخلاق عالی در هم آمیخته,سلام پزشک مجرب متخصص متعهد علم اخلاق آمیخته,14,8
238168,1,5.0,خوب بود,خوب بود,,2,0
110955,0,2.5,سلام زبون پسر دو سالم یه قسمتیش پرز نداره و مثل اینکه از این موضوع داره عذیت هم میشه دکتر یه دوره ویتامین دادن که دوباره بعد سه هفته باید ببرم پیششون,سلام زبون پسر دو سالم یه قسمتیش پرز نداره مثل اینکه از این موضوع داره عذیت هم میشه دکتر یه دوره ویتامین دادن که دوباره بعد سه هفته باید ببرم پیششون,سلام زبون پسر سالم یه قسمتیش پرز نداره موضوع داره عذیت میشه دکتر یه دوره ویتامین هفته ببرم پیششون,31,19
220140,1,5.0,فقط میتونم بگم ایشان یک فرشته متخصص و دانا و باشخصیت هستند و تشخیص درست ایشان زندگی دختر من را نجات داد بهترین و داناترین,فقط میتونم بگم ایشان یک فرشته متخصص دانا باشخصیت هستند تشخیص درست ایشان زندگی دختر من را نجات داد بهترین داناترین,میتونم بگم فرشته متخصص دانا باشخصیت تشخیص درست زندگی دختر نجات داناترین,21,12
282680,1,5.0,برای لک‌هایی که در اثر لیزر بوجود آمده بود مراجعه کردم تجویز شون خوب بود لک‌ها بعد یکماه مصرف دارو از بین رفت,برای لک‌هایی که در اثر لیزر بوجود آمده_بود مراجعه کردم تجویز شون خوب بود لک‌ها بعد یکماه مصرف دارو از بین رفت,لک‌هایی لیزر بوجود آمده_بود مراجعه تجویز شون لک‌ها یکماه مصرف دارو,22,11
173581,1,5.0,دارو دادن در دوره درمان هینم,دارو دادن در دوره درمان هینم,دارو دوره درمان هینم,6,4
220532,1,5.0,بهترین هستند,بهترین هستند,,2,0
223561,0,2.5,لک صورت خوب بود,لک صورت خوب بود,لک صورت,4,2
241039,1,5.0,راصی هستم,راصی هستم,راصی هستم,2,2
290593,1,5.0,خانم دکتر کاملا با حوصله و دقیق هستند,خانم دکتر کاملا با حوصله دقیق هستند,خانم دکتر حوصله دقیق,7,4
223843,1,5.0,بسیار عالی,بسیار عالی,,2,0
197495,0,2.5,عمل بینی,عمل بینی,عمل بینی,2,2
105831,1,5.0,یکبار ویزیت شدم بخاطره مشکل گرفتگی صدا و تارهای صوتی‌ی مدت خوب شدم ولی بازم صدام گرفته,یکبار ویزیت شدم بخاطره مشکل گرفتگی صدا تارهای صوتی‌ی مدت خوب شدم ولی بازم صدام گرفته,یکبار ویزیت شدم بخاطره مشکل گرفتگی صدا تارهای صوتی‌ی شدم بازم صدام,16,12
297689,-1,0.0,عدم رضایت,عدم رضایت,رضایت,2,1
284486,1,5.0,سنگ کلیه داشتم رفع شد,سنگ کلیه داشتم رفع شد,سنگ کلیه داشتم رفع,5,4
280811,1,5.0,خون در ادار و تشخیص داده شد,خون در ادار تشخیص داده_شد,خون ادار تشخیص داده_شد,5,4
235783,1,5.0,عالی کاملا وقت می‌گذارند دل سوزانه ویزیت و نتیجه عالی,عالی کاملا وقت می‌گذارند دل سوزانه ویزیت نتیجه عالی,وقت می‌گذارند دل سوزانه ویزیت نتیجه,9,6
219596,1,5.0,عالی بود,عالی بود,,2,0
333223,1,5.0,سنگ کلیه بنده حل نشدنی بود که ایشان تونستن این مشکل رو رفع کنند,سنگ کلیه بنده حل نشدنی بود که ایشان تونستن این مشکل رو رفع کنند,سنگ کلیه بنده نشدنی تونستن مشکل رفع,14,7
125913,1,5.0,در حال درمانم,در حال درمانم,درمانم,3,1
219108,0,2.5,باکتری مجرای ادراری و فعلا عدم بهبودی,باکتری مجرای ادراری فعلا عدم بهبودی,باکتری مجرای ادراری فعلا بهبودی,6,5
300177,0,2.5,تحت درمان,تحت درمان,درمان,2,1
255309,1,5.0,عالیی,عالیی,عالیی,1,1
125913,1,5.0,دکتر بسیار خوب,دکتر بسیار خوب,دکتر,3,1
130269,1,5.0,ترومبوز مغزی,ترومبوز مغزی,ترومبوز مغزی,2,2
120121,1,5.0,مشکل عادت ماهانه که تنظیم شد دکتر با حوصله و مهربون و دوست‌داشتنی,مشکل عادت ماهانه که تنظیم شد دکتر با حوصله مهربون دوست‌داشتنی,مشکل عادت ماهانه تنظیم دکتر حوصله مهربون دوست‌داشتنی,11,8
325603,1,5.0,دکتر خوبی هستن,دکتر خوبی هستن,دکتر هستن,3,2
200998,1,5.0,پسرم تصادف گردن مهرهای کمرش آسیب دید ه بود بیمارستان عرفان بستری شدند دکتر جراحی نکردن با کمربند مشوش حل شد,پسرم تصادف گردن مهرهای کمرش آسیب دید ه_بود بیمارستان عرفان بستری شدند دکتر جراحی نکردن با کمربند مشوش حل شد,پسرم تصادف گردن مهرهای کمرش آسیب دید ه_بود بیمارستان عرفان بستری دکتر جراحی نکردن کمربند مشوش,20,16
130755,-1,0.0,عدم رضایت,عدم رضایت,رضایت,2,1
110102,-1,0.0,عدم رضایت,عدم رضایت,رضایت,2,1
200998,1,5.0,دیسک گردنم روپیش ایشان عمل کردم والحمدلله موفقیت آمیزبود,دیسک گردنم روپیش ایشان عمل کردم والحمدلله موفقیت آمیزبود,دیسک گردنم روپیش عمل والحمدلله موفقیت آمیزبود,9,7
238666,1,5.0,بسیار دکتر عالی هستن,بسیار دکتر عالی هستن,دکتر هستن,4,2
305568,1,5.0,بسیار دکتر حاذقی هستن درد مچ دست داشتم و خوب شد,بسیار دکتر حاذقی هستن درد مچ دست داشتم خوب شد,دکتر حاذقی هستن درد مچ دست داشتم,10,7
300177,1,5.0,فرزند یکی از دوستام وسزیت شدن خیلی نتیجه داده,فرزند یکی از دوستام وسزیت شدن خیلی نتیجه داده,فرزند دوستام وسزیت نتیجه,9,4
325722,1,5.0,بسیار دکتر عالی هستن,بسیار دکتر عالی هستن,دکتر هستن,4,2
102091,1,5.0,بسیار عالی و با تجربه و خوش‌اخلاق,بسیار عالی با تجربه خوش‌اخلاق,تجربه خوش‌اخلاق,5,2
323418,1,5.0,واقعا دکتر عالی هستن من ازشون راضی بودم و واقعا هم نتیجه گرفتم,واقعا دکتر عالی هستن من ازشون راضی بودم واقعا هم نتیجه گرفتم,واقعا دکتر هستن ازشون راضی بودم واقعا نتیجه گرفتم,12,9
122973,1,5.0,سلام من 14 سال پیش مشکل نازایی داشتم رفتم رفتم پیششون با درمان 3 ماه بعداز از سه سال باردارشدم,سلام من 14 سال پیش مشکل نازایی داشتم رفتم رفتم پیششون با درمان ماه بعداز از سه سال باردارشدم,سلام 14 سال مشکل نازایی داشتم رفتم رفتم پیششون درمان ماه بعداز سال باردارشدم,19,14
303951,1,5.0,ایشون بسیار ماهر و با حوصله و تشخیص درست بودند ازشون ممنونم,ایشون بسیار ماهر با حوصله تشخیص درست بودند ازشون ممنونم,ایشون ماهر حوصله تشخیص درست ازشون ممنونم,10,7
230867,1,5.0,دکتر عالی و وظیفه‌شناس,دکتر عالی وظیفه‌شناس,دکتر وظیفه‌شناس,3,2
299975,1,5.0,پزشکی بسیار حاذق و توانا,پزشکی بسیار حاذق توانا,پزشکی حاذق توانا,4,3
304018,1,5.0,عالی باتجربه,عالی باتجربه,باتجربه,2,1
219596,1,5.0,آرامشی که در نگاهشون جاری هست هیچ دارویی نداره به شدت توصیه می‌کنم در صورت لزوم حتما توسط ایشون ویزیت بشید,آرامشی که در نگاهشون جاری هست هیچ دارویی نداره به شدت توصیه می‌کنم در صورت لزوم حتما توسط ایشون ویزیت بشید,آرامشی نگاهشون هست دارویی نداره شدت توصیه صورت لزوم حتما توسط ایشون ویزیت بشید,21,14
299975,1,5.0,بابت جراحی سنگ کلیه به روش pcnl برای پدرم مراجعه داشتیم عالی بود خوشبختانه با حال عمومی خوب بیمارم ترخیص شدند دکتر توضیحات کافی دادند و برای بیمار وقت بسیاری می‌گذارند بهترین پزشکی که دیدم,بابت جراحی سنگ کلیه به روش pcnl برای پدرم مراجعه داشتیم عالی بود خوشبختانه با حال عمومی خوب بیمارم ترخیص شدند دکتر توضیحات کافی دادند برای بیمار وقت بسیاری می‌گذارند بهترین پزشکی که دیدم,بابت جراحی سنگ کلیه pcnl پدرم مراجعه داشتیم خوشبختانه عمومی بیمارم ترخیص دکتر توضیحات بیمار وقت می‌گذارند پزشکی دیدم,34,19
258976,1,5.0,منییر داشتم و تحته کنترله,منییر داشتم تحته کنترله,منییر داشتم تحته کنترله,4,4
302238,1,5.0,عالیی,عالیی,عالیی,1,1
110120,-1,0.0,عدم رضایت,عدم رضایت,رضایت,2,1
180889,1,5.0,بی نظیرن توده کلیه داشتم و عمل شدم بهترین نتیجه رو گرفتم,بی نظیرن توده کلیه داشتم عمل شدم بهترین نتیجه رو گرفتم,نظیرن توده کلیه داشتم عمل شدم نتیجه گرفتم,11,8
331935,1,5.0,دکتری دقیق با رویکردی عالی در درمان بیمارانش,دکتری دقیق با رویکردی عالی در درمان بیمارانش,دکتری دقیق رویکردی درمان بیمارانش,8,5
213003,1,5.0,مشکل دیسک کمر داشتم خیلی کارشون عالی,مشکل دیسک کمر داشتم خیلی کارشون عالی,مشکل دیسک کمر داشتم کارشون,7,5
304097,1,5.0,ایشون بسیار با حوصله و صبوری مشکل را شرح می‌دهند و روند و نحوه درمان رو توضیح می‌دهند,ایشون بسیار با حوصله صبوری مشکل را شرح می‌دهند روند نحوه درمان رو توضیح می‌دهند,ایشون حوصله صبوری مشکل شرح درمان توضیح,15,7
304018,1,5.0,عرض سلام و وقت بخیر من برای اکنه‌های مقاوم صورت و بدن مراجعه داشتم خدمت خانم دکتر و تشخیص ودرمان ایشون منو نجات داد واقعا از ایشون کمال تشکر رو دارم,عرض سلام وقت بخیر من برای اکنه‌های مقاوم صورت بدن مراجعه داشتم خدمت خانم دکتر تشخیص ودرمان ایشون منو نجات داد واقعا از ایشون کمال تشکر رو دارم,عرض سلام وقت بخیر اکنه‌های مقاوم صورت بدن مراجعه داشتم خدمت خانم دکتر تشخیص ودرمان ایشون منو نجات واقعا ایشون کمال تشکر دارم,28,23
