task_id,item_id,text_label,label_human,bucket,specialty,rate,is_duplicate,label_human_note,rater_id
task01_00014,sent_002532,برای گلو درد و گوش‌درد رفتم,0,topup_pref,متخصص گوش حلق بینی و جراحی های سرو و گردن .جراحی زیبایی صورت,2.5,0,,
task01_00015,sent_007348,لکه پوستی و جوش,0,rate_neg,"متخصص پوست ، مو ، زیبایی و لیزر",2.5,0,,
task01_00016,sent_002084,پاهای پرانتزی,0,rate_neg,جراح و متخصص استخوان و مفاصل { ارتوپد },2.5,0,,
task01_00017,sent_005484,عمل کردم تحت درمانم هنوز,0,rate_neg,"جراح کلیه، مجاری ادراری، تناسلی و پروستات ، اورولوژی",2.5,0,,
task01_00018,sent_001469,برای ویزیت بارداری رفتم عالی بود,1,high_pos,"متخصص و جراح زنان و زایمان ، نازایی - دارای بورد تخصصی",5,0,,
task01_00019,sent_001608,سلام خانم دکتر بهترین راه ممکن رو به من پیشنهاد دادند,1,rate_neg,متخصص زنان و زایمان,2.5,0,,
task01_00020,sent_002216,برای درمان لغزش دست مراجعه کردم ولی هنوز نتیجه نگرفتم,-1,high_neg,متخصص بیماری های مغز و اعصاب و ستون فقرات,2.5,0,,
task01_00021,sent_000714,خوش‌اخلاق با حوصله حاذق کم‌خرج بدون معطلی در کل راضی هستم,1,mixed,متخصص مغز و اعصاب (نورولوژیست),5,0,,
task01_00022,sent_006282,مشکل جوش داشتم که در حال درمانم هنوز نمیتونم نظر قطعی بدم,0,rate_neg,"متخصص پوست ، مو ، زیبایی و لیزر",2.5,0,,
task01_00023,sent_000548,من مشکل پوستی در کشاله ران داشتم و اگزاما دکتر‌های زیادی رفتم که اصلا فایده نداشت با یک نسخه ایشان کاملا خوب شدم عالی عالی عالی ممنونم از ایشون,1,mixed,متخصص پوست و مو و زیبایی,5,0,,
task01_00024,sent_002603,بسیار با حوصله ودقیق هستن شش ماه ترشح خون از بینی داشتم با یک ویزیت خوب شدم,1,topup_pref,متخصص گوش و حلق و بینی,5,0,,
task01_00025,sent_002410,تشنج دارم و هنوز هم درمان نشده,-1,high_neg,فلوشیپ صرع و متخصص بیماریهای مغز و اعصاب و ستون فقرات,2.5,0,,
task01_00026,sent_001688,در مرحله تست,0,random,فلوشیپ حنجره,5,0,,
task01_00027,sent_006126,با دقت به حرفهای شما گوش می‌کنم و نسخه دقیق و درست هم ارائه می‌فرمایند ایشان را به دیگران معرفی و پیشنهاد می‌کنم,1,mid_neg,"متخصص پوست ، مو ، لیزر",5,0,,
task01_00028,sent_002009,دکتر خوبی هستند چند سال هست توسط ایشان ویزیت ودرمان می‌شوم,1,service_neg,متخصص اورولوژی - فلوشیپ اندویورولوژی و لاپاراسکوپی,2.5,0,,
task01_00029,sent_003658,پروستات هنوزدرحال درمان هستم,0,rate_neg,"جراح کلیه، مجاری ادراری، تناسلی و پروستات ، اورولوژی",2.5,0,,
task01_00030,sent_003897,مشکل خواب بهتر شدند,0,rate_neg,متخصص مغز و اعصاب و ستون فقرات,2.5,0,,
task01_00031,sent_004617,سلام معاینه داشتم خوب بود,1,topup_pref,متخصص زنان و زایمان,2.5,0,,
task01_00032,sent_000380,نسبتا خو,0,rate_neg,متخصص مغز و اعصاب ( نورولوژی ),2.5,1,,
task01_00033,sent_002635,دو بار ویزیت شدم هر بار بیش از 5 ساعت در مطب منتظر بودم,-1,high_neg,جراح ارتوپد,2.5,0,,
task01_00034,sent_001434,ایشونبهترین دکتری هستند که به عمرم دیدم همسر بنده بعداز 12 سال که نازا بودن واسپرمشون صفر بود با جراحی ایشون صاحب یک فرزند پسر شدیم یک دنیا ازشون ممنونم,1,topup_pref,متخصص جراحی کلیه و مجاری ادراری و تناسلی,5,0,,
task01_00035,sent_000833,عرض سلام و ادب و احترام بنده دفعه اول بود که مراجعه کردم خیلی باحوصله جواب میده وتوضیحات شون در باره مشکلی ک داشتم عالی بود,1,high_pos,متخصص ارتوپدی - جراحیهای تخصصی زانو و لگن - تعویض مفصل,5,0,,
task01_00036,sent_007892,فعلا در حال ویزیت هستم,1,topup_pref,جراح و متخصص استخوان و مفاصل (ارتوپد),5,0,,
task01_00037,sent_006321,تشخیص ایشون خوب بود ولی کرمی که نوشتن فوق‌العاده گران بود چون دست‌ساز نوشته بودن می‌شد با یک کرم ساده که در داروخانه‌ها هست کار را جمع کرد من کرم آماده داروخانه را گرفتم برای رفع لک,0,high_neg,متخصص پوست و مو (درماتولوژی),2.5,0,,
task01_00038,sent_006594,من کاشت مو انجام دادم پیش شما و خیلی راضی‌ام ممنون از خانم دکتر یزدانی و تیم حرفه‌ای ایشون,1,mixed,"متخصص پوست ، مو ، زیبایی",5,0,,
task01_00039,sent_002762,جناب دکتر اسحاقی یکی از بهترین وبا وجدان‌ترین دکتری است که تا به حال دیدم خدا پشت وپناه خودش وخانواده باشه,0,high_pos,جراح مغز و فلوشیپ دیسک و ستون فقرات,5,0,,
task01_00040,sent_004773,امروز عمل تنگی کارپال دارم,0,topup_pref,"جراح ارتوپد و فلوشیپ جراحی دست-شانه ،ارنج",2.5,0,,
task01_00041,sent_006620,مشکل تاخیر در قائدگی داشتم,1,mid_neg,"جراح و متخصص زنان ، زایمان و فلوشیپ ناباروری",5,0,,
task01_00042,sent_006776,دقیق با سواد و صبور ومحترم مطب تمیز و منشی بسیار مهربان,0,topup_pref,متخصص مغز و اعصاب ( نورولوژی ),5,0,,
task01_00043,sent_001282,ختنه بود راضی بودم مشکل خاصی نداشتم,1,rate_neg,متخصص جراحی کلیه و مجاری ادراری,2.5,0,,
task01_00044,sent_000268,من راضی نبودم,-1,high_neg,متخصص ارتوپدی ( جراح استخوان و مفاصل ),2.5,0,,
task01_00045,sent_000872,یکبار ویزیت شدم هنوز نتیجه نگرفتم,0,mid_neg,متخصص جراحی مغز و اعصاب دیسک و ستون فقرات,5,0,,
task01_00046,sent_006719,برای گوش رفتم دکتر خوبی هستن فقط نوبت دهی ضعیفی,0,service_neg,جراح گوش و حلق و بینی,2.5,0,,
task01_00047,sent_003680,من تاکید کردم ب اینکه عمل نمیخام بشم ولی منو فرستادن اکو نوار قلب و ریه کاره اشتباهی بود فقط هزینه بیخود,-1,high_neg,متخصص و جراح مغز اعصاب و ستون فقرات,2.5,0,,
task01_00048,sent_004257,خوب و مثبت,1,rate_neg,جراح و متخصص زنان و زایمان و نازایی,2.5,0,,
task01_00049,sent_003125,معطلی مطب بشدت زیاد بود من دوساعت معطل شدم و واقعا ناراحت شدم ولی خانم دکتر خودش عالی بودن,0,mixed,جراح و متخصص زنان زایمان و نازایی,5,0,,
task01_00050,sent_007220,برای دیسک کمر و گردن رفتم بعد از دیدن‌ام ار‌ای گفتن مشکل خاصی نداری زمان معاینه یجوری رگ سیاتیکمو فشار دادن که تا چند روز یطرفم درد می‌کرد,0,rate_neg,متخصص مغز و اعصاب و ستون فقرات,2.5,0,,
task01_00051,sent_007929,بثورات پوستی دوتا دکتر تشخیص اشتباه دادن ایشون تشخیص ویروس دادن و گفتن خودش خوب میشه و رو به بهبودم هستم,1,high_neg,"متخصص پوست و مو ، زیبایی و لیزر",5,0,,
task01_00052,sent_006236,مطبشون شلوغه اما دکتر و پرسنل بشدت عالی هستن,1,mixed,"متخصص پوست ، مو ، زیبایی و لیزر",5,0,,
task01_00053,sent_002869,دکتر خوبی هستن و خوب بود کارشون ولی من فقط دوره درمان و مصرف داروها اثر بهبودی رو دیدم و بعدش مثله قبل شد باز,0,rate_neg,متخصص پوست و مو,2.5,0,,
task01_00054,sent_006431,برای اولین بار به خانم دکتر مراجعه کردم,0,topup_pref,متخصص زنان و زایمان - فلوشیپ نازایی,2.5,0,,
task01_00055,sent_004654,خانم دکتر بسیار خوش‌برخورد و با حوصله و در ضمن با علم بالا به روزترین خدمات رو ارائه میدن بنده خیلی پیش ایشون ویزیت شدم و همیشه راضی بودم,1,topup_pref,"متخصص پوست ، مو و زیبایی",5,0,,
task01_00056,sent_000948,فعلا که فقط ویزیت شدم,0,service_neg,متخصص جراحی مغز و اعصاب,2.5,0,,
task01_00057,sent_006800,اولین دکتر پوستی بودن که برای من آزمایش هورمونی نوشتن اصلا کرم‌های گرون و الکی تجویز نمیکنن و خیلی به فکر بیمار هستن,1,mid_neg,متخصص بیماریهای پوست و مو و لیزر,5,0,,
task01_00058,sent_001754,ایشون عالی بودن,1,high_pos,فلوشیپ جراحی دست,5,0,,
task01_00059,sent_002239,آقای دکتر درباره بیماری ونوع تشخیص بیماری اصلا توضیح نمیده ما ازش راضی نبودیم,-1,rate_neg,فلوشیپ جراحی ستون فقرات,2.5,0,,
task01_00060,sent_001747,دکتر خوب ولی خیلی گرون,0,mid_neg,متخصص پوست و مو,5,0,,
task01_00061,sent_000017,فعلا باید عک,0,topup_pref,جراح مغز و فلوشیپ دیسک و ستون فقرات,2.5,0,,
task01_00062,sent_003640,ویزیت اولیه بود و هنوز درمان تکمیل نشده,0,service_neg,جراح و متخصص ارتوپدی و فلوشیپ ارتوپدی کودکان,2.5,1,,
task01_00063,sent_002124,ویزیت بسیار گران,-1,mid_neg,فلوشیپ آی وی اف و لاپاراسکوپی,5,0,,
task01_00064,sent_004802,چربی زیر پوست,0,random,"متخصص پوست ، مو ، زیبایی و لیزر",5,0,,
task01_00065,sent_002229,تا کنون در حال دوره درمان و به نسبت به گذشته بهترم,0,rate_neg,متخصص جراحی مغز و اعصاب,2.5,0,,
task01_00066,sent_000301,معطلی زیاد داشتیم درحد 4 ساعت ولی برخورد دکتر با حوصله و دقت و تشخیص بالا بود پسرم الان تحت درمان هستش,1,high_neg,جراح و متخصص استخوان و مفاصل (ارتوپد),2.5,0,,
task01_00067,sent_002972,پارگی دیسک کمر ویزیت اولیه شدم با توجه به درد کمرم تایم نوبت دهی خوب بود و زیاد منتظر نموندم که خیلیی برام مهم بود این موضوع و خود دکتر خیلی خیلی با سواد و حرفه‌ای امیدوارم زودتر خوبشم,1,mid_neg,متخصص جراحی مغز و اعصاب و ستون فقرات,5,0,,
task01_00068,sent_003134,بعدا میگم,0,rate_neg,متخصص و جراح زنان و زایمان و نازایی,2.5,0,,
task01_00069,sent_004771,برای مشکل عدم نعوظ مراجعه کردم دوماه داروخوردم اصلت نتیجه نگرفتم,-1,high_neg,فلوشیپ کلیه و مجاری ادراری تناسلی,2.5,0,,
task01_00070,sent_005796,در حال ویزیت کردن هستم فعلا,0,service_neg,فلوشیپ جراحی ستون فقرات,2.5,0,,
task01_00071,sent_005803,من ریزش مو و جوش صورت داشتم البته جوشای صورتم زیاد نبود در حد چهار پنج تا که داروی جوش صورت خوب بود برطرف شد اما برای ریزش مو اصلا خوب نبود من ریزش موم قطع نشد,-1,high_neg,"متخصص پوست ، مو ، زیبایی و لیزر",2.5,0,,
task01_00072,sent_004769,انسان شریف و متخصص,1,topup_pref,فلوشیپ جراحی ستون فقرات,2.5,0,,
task01_00073,sent_006964,نوار عصب همانجا انجام می‌شود بسیار عالی,1,high_pos,متخصص مغز و اعصاب و ستون فقرات,5,0,,
task01_00074,sent_001626,تشخیص خوبی دارن ولی شلوغ هست و دسترسی تلفنی یه مقدار سخت هست به مطبشون,0,high_neg,جراح و متخصص زنان زایمان نازایی,2.5,0,,
task01_00075,sent_000267,چکاو و سنجش گوش,0,rate_neg,"جراح گوش ، حلق و بینی",2.5,0,,
task01_00076,sent_004928,گوش پسرم چرک داشت دارو دادند خوب شد,1,random,متخصص و جراح گوش و حلق و بینی,5,0,,
task01_00077,sent_004526,هیچ نتیجه نگرفتیم فعلا,-1,rate_neg,متخصص مغز و اعصاب (نورولوژی),2.5,0,,
task01_00078,sent_004519,مشکل سائیدگی زانوداشتم باسه نوبت تزریق الان خوبم,1,topup_pref,متخصص و جراح ارتوپدی,5,0,,
task01_00079,sent_006228,بسیار عالی ولی بدیشون اینه که انتر‌ها ویزیت میکنن با دکتر نمیشه صحبت کرد,1,service_neg,فلوشیپ جراحی استخوان و مفاصل کودکان (ارتوپدی کودکان),2.5,0,,
task01_00080,sent_006908,فعلا جهت تشخیص اقدامات پاراکلنیکی دارم انجام می‌دم,0,rate_neg,متخصص مغز و اعصاب و ستون فقرات,2.5,0,,
task01_00081,sent_001826,در حال درمان دیسک کمر,0,topup_pref,متخصص ارتوپدی جراح استخوان مفاصل و آسیب های ورزشی,2.5,0,,
task01_00082,sent_001211,فقط فعلا یه بار ویزیت شدم هنوز به مرحله‌ی درمان نرسیدم,0,service_neg,متخصص ارتوپدی ( جراح استخوان و مفاصل ),2.5,0,,
task01_00083,sent_001271,عالی و خوش‌اخلاق با حوصله وبا تجربه,1,high_pos,متخصص زنان و زایمان,5,0,,
task01_00084,sent_006840,جوش نوجوانی دخترم,0,rate_neg,متخصص پوست و مو,2.5,0,,
task01_00085,sent_001425,فقط یک با,0,rate_neg,متخصص ارتوپدی - جراحی استخوان و مفاصل,2.5,0,,
task01_00086,sent_006954,برای درمان ناباروری مراجعه کردم و یک ماه هنوز نتیجه نگرفتم ولی دکتر خیلی خوبی هستند خوش‌اخلاق و مهربون,0,mid_neg,"متخصص و جراح زنان و زایمان ، نازایی - دارای بورد تخصصی",5,0,,
task01_00087,sent_001363,صورتم لک داشت,0,topup_pref,متخصص پوست و مو,2.5,0,,
task01_00088,sent_002711,نظم مطب و وقت دهی بسیار عالی برخورد خانم دکتر و صبر ایشون بسیار و توضیحات با کمال آرامش بسیار راضی هستم,1,topup_pref,جراح و متخصص زنان و زایمان و نازایی,5,0,,
task01_00089,sent_002209,تازه مراجعه کردم و هنوز نظری ندارم,0,rate_neg,"جراح مغز و اعصاب , ستون فقرات , لیزر دیسک ,آندوسکوپ مغز و قاعده جمجمه",2.5,1,,
task01_00090,sent_002147,نوبت دهی خوب بود برام‌ام آر آی نوشتن فعلا تحت درمانم,0,service_neg,متخصص مغز و اعصاب و ستون فقرات,2.5,0,,
task01_00091,sent_005277,بسیار دکتر خوب دقیق مهربانی هستن و نوبت دهی به موقع و سر ساعت بدون مشکل,1,service_neg,"جراح و متخصص زنان ، زایمان و نازایی",5,0,,
task01_00092,sent_004138,چکاپ عمومی,0,topup_pref,"جراح و متخصص زنان و زایمان ، نازایی",2.5,0,,
task01_00093,sent_002173,بهترین دکتر زنان حاذق دلسوز و منصف,1,topup_pref,جراح و متخصص زنان زایمان نازایی,5,0,,
task01_00094,sent_004230,فعلا درمانم کامل نشده,0,rate_neg,متخصص پوست و مو,2.5,0,,
task01_00095,sent_001760,با سلام من سرگیجه داشتم تشخیص دکترفشارگوش بود ضرف سه تا حدود زیادی نتیجه گرفتم,1,rate_neg,متخصص و جراح گوش و حلق و بینی,2.5,0,,
task01_00096,sent_002533,مشکل پرزوستات داشتم که به کمک ایشان و استفاده از داروهای سنتی بهبود یافتم,1,topup_pref,"فلوشیپ پیوند کلیه ، عضو تیم تخصصی درمان ناباروری",2.5,1,,
task01_00097,sent_000241,در حال حاضر تحت درمانم,0,topup_pref,متخصص مغز و اعصاب و ستون فقرات,2.5,0,,
task01_00098,sent_005456,تنبلی تخ,0,rate_neg,متخصص جراحی زنان و زایمان و نازایی,2.5,0,,
task01_00099,sent_002824,برای باراول خوب بود,0,topup_pref,متخصص بیماری های پوست و مو,2.5,0,,
task01_00100,sent_003383,به تازگی ویزیت شدم,0,service_neg,متخصص گوش و حلق و بینی و جراحی سر و گردن,2.5,0,,
task01_00101,sent_000663,دکتر خوب و حاذق و ویزیت گران,1,mixed,متخصص جراحی مغز و اعصاب,5,0,,
task01_00102,sent_004636,کیست داشتم و عمل کردم واقعا ممنونم ازشون,1,random,متخصص زنان و زایمان,5,0,,
task01_00103,sent_002289,یکبار توسط ایشون ویزیت شدم وعالی بودن,1,topup_pref,فلوشیپ طب مادر و جنین - پریناتولوژی,5,0,,
task01_00104,sent_000702,در حال درمانم,0,topup_pref,"متخصص زنان و زایمان ( فلوشیپ نازایی )، IVF و لاپاراسکوپی",2.5,0,,
task01_00105,sent_000356,خیلی خوبه عالی همیشه براش دعا می‌کنیم خانم طالبی هستم,1,high_pos,متخصص گوش حلق و بینی,5,0,,
task01_00106,sent_006367,خیلی معطلی داره اگه یکم به فکر مراجعین باشند بد نیست تو این زمونه 4 ساعت تو نوبت بشینی با اینکه از قبل وقت گرفتی قابل توجیه نیست,-1,high_neg,فلوشیپ ارتوپدی و جراحی ستون فقرات,2.5,0,,
task01_00107,sent_004462,تحت درمان ه,0,topup_pref,"جراح ارتوپد و فلوشیپ جراحی دست-شانه ،ارنج",2.5,0,,
task01_00108,sent_006732,بسیار حاذق و دقیق هستن خانم دکتر شفیعیان کمک بزرگی کردن به من وقتی‌که از لحاظ جسمی و روحی شرایط خیلی بدی داشتم تا همیشه ممنونم از لطف و مهربانیشون,1,mixed,"جراح و متخصص زنان و زایمان ، نازایی",5,0,,
task01_00109,sent_001331,برای درمان خلط پشت خلق رفتم فرمودن مشکل بنذه از اسید معدس ودارو داد فعلا تحت نظرم,0,random,جراح و متخصص گوش و حلق و بینی,5,0,,
task01_00110,sent_006892,گوش‌درد و تحت درمان,0,rate_neg,جراح و متخصص گوش و حلق و بینی,2.5,0,,
task01_00111,sent_004750,مادرم جراحی مهره کرده,0,rate_neg,فلوشیپ جراحی ستون فقرات,2.5,0,,
task01_00112,sent_002262,مطب بسیار شلوغ و معطلی بسیار زیاد,-1,high_neg,متخصص گوش حلق بینی,2.5,0,,
task01_00113,sent_004181,سلام خانم دکتر بی‌نهایت خوش‌اخلاق و متعدد و بی‌نهایت با حوصله مریض رو ویزیت میکنن خییلی خوب به بیمار گوش میدن و دونه دونه مشکلات بیمارش رو بررسی میکنه یه دنیا هم من ازشون انرژی مثبت گرفتم خیلی پر انرژی و دوست‌داشتنی و در کارشون استاد هستند منشی ایشون هم عالی و خوش‌رفتار هستن من خییلی ازشون راضی هستم,,topup_pref,"متخصص پوست ، مو ، زیبایی و لیزر",5,1,,
task01_00114,sent_007247,ابشون بسیار با حوصله با بیمار رفتار میکنن وتشخیص شون درست وبرای بیمار هزینه تراشی بی‌مورد نمیکنن,1,mid_neg,جراح و متخصص ارتوپدی,5,0,,
task01_00115,sent_001461,دکتر باسواد و سریع متوجه مشکل من ک پارگی تاندون شانه بود فقط مشکل هزینه عمل ک خودش میگیره یکم ب مریض فشار میاد,0,high_neg,فلوشیپ جراحی شانه و آرنج,2.5,0,,
task01_00116,sent_000832,برای جوش‌های صورتم مراجعه کردم و فعلا تحت درمان هستم,0,topup_pref,"متخصص پوست ، مو و لیزر",2.5,0,,
task01_00117,sent_003343,خیلی تایم نذاشتن راضی نبودم آزمایش هامم اصلا دقت نکردن,-1,high_neg,"زنان ، زایمان و نازایی",2.5,0,,
task01_00118,sent_007405,پسر بنده پیش دکتر دیگری ختنه‌کرده بودن و نگرانی‌هایی داشتم پیش آقآی دکتر رفتیم معاینه کردن و با وجدان کاری و روی خوش‌خیال ما رو راحت کردن که مشکلی نداره بهترین دکتر از نظر تخصص و اخلاق پزشکی ایشون رو دیدم خدا حفظشون کنه,1,mixed,متخصص جراحی کلیه و مجاری ادراری,5,0,,
task01_00119,sent_003368,با عرض سلام من یک نوبت امدم یک اسکن نوشته‌شده و سری بعد جواب را اوردم و دو نوبت ویزیت شدم,0,service_neg,متخصص ارتوپدی ( جراحی استخوان و مفاصل ),2.5,0,,
task01_00120,sent_001762,عدم مدیریت زمان چند ساعت منتظر موندیم,-1,high_neg,"متخصص مغز و اعصاب (نورولوژی)، عضو انجمن صرع ایران",2.5,0,,
task01_00121,sent_001240,مشکل هورمونی داشتم که خدارو شکر راضی بودم از رفتن به مطب ایشون چون باردار شدم ندونسته,1,topup_pref,"متخصص زنان و زایمان ، نازایی",5,0,,
task01_00122,sent_007331,بعد عمل خیلی می‌ترسیدم که فایده نداشته باشه اما الان 2 ماه گذشته و من ورزش هم می‌کنم,1,mid_neg,فلوشیب زانو و آسیبهای ورزشی شانه و زانو,5,0,,
task01_00123,sent_007834,سلام من رفتم مطب دکتر علیزاده نبود دکتر صالح حبیبی بود وقت میزاره برا بیمار که حرف بزنه وتشخیص دقیق داد نتیجه گرفتم خیلی ممنونم ازش خدا خیرش بده,1,service_neg,متخصص و جراح گوش و حلق و بینی و سر و گردن,5,0,,
task01_00124,sent_000677,فعلا تحت درمان هستیم,0,rate_neg,فلوشیپ جراحی دست,2.5,0,,
task01_00125,sent_003726,سلام من پسرم را برم که پیش خیلی دکترها برده بودم ونتیجه نگرفتم وخیلی نگران بودم البته الان هم هستم ولی دکتر گفتند که پسرم تا 18 سالگی باید صفحه رشد بسته شود تا ما شروع به کار کنیم,0,high_neg,متخصص ارتوپدی . فلوشیپ جراحی شانه و آرنج,5,0,,
task01_00126,sent_003168,پارگیه مینیسک زانو دکتر خیلی خوبیه فقط قرار بود واسم وقت جراحی بزارن ولی مسولش کم‌کاری میکنه,0,rate_neg,فلوشیب زانو و آسیبهای ورزشی شانه و زانو,2.5,1,,
task01_00127,sent_007327,من مادرم وضیت خیلی بدی داشت زانو درد شدید هرشب با گریه‌های مادرم از خواب بیدار می‌شدم زندگیم کابوس شده بود و زجه‌های مادرم دکتر شهرستانی معجزه خدا بود برای زندگی ما مادرم بعد عمل پاش عالی شد مادرم توانایی راه رفتن رو دوباره به دست اورد دکتر شهرستانی ممنونتم واقعا ممنونتونم که با خوشرویی تمام با مریضاتون برخورد می‌کنی و امید زندگی رو بهمون میدین واقعا یه دونه‌ای,1,mixed,متخصص جراحی استخوان و مفاصل(ارتوپد),5,0,,
task01_00128,sent_004135,زیاد راضی نبودم,0,high_neg,متخصص مغز و اعصاب و ستون فقرات,2.5,0,,
task01_00129,sent_006913,مشکل دست عمل کردن خوب بود,0,rate_neg,جراح و متخصص ارتوپدی - فلوشیپ جراحی دست,2.5,0,,
task01_00130,sent_006515,دکتر خوشرو و به نظر با سواد میاد خیلی وقت میذارن برای بیمار در واقع زیادی وقت میذارن و همین باعث شد من 4 ساعت منتظر بمونم فعلا دارم میرم جلو و نتیجه درمان مشخص بشه میتونم نظر نهایی رو در مورد تشخیص ایشون بدم,1,service_neg,جراح و متخصص ارتوپدی,5,0,,
task01_00131,sent_006197,دکتر با تجربه ایی بود و همانطور که فرمودن نگرانی ما درمورد راه رفتن کودکمون بی‌مورد بود و خدا رو شکر کاملا خوب شد,1,mid_neg,فلوشیپ ارتوپدی اطفال,5,0,,
task01_00132,sent_003664,سلام هف,0,rate_neg,"جراح و متخصص زنان ، زایمان و نازایی",2.5,0,,
task01_00133,sent_006165,گرفتگی عصب دست,0,rate_neg,"متخصص ارتوپدی ، جراح استخوان و مفاصل",2.5,0,,
task01_00134,sent_001480,فعلا یک جلسه برای کم پشتی موی دخترم مراجعه کردم,0,topup_pref,متخصص پوست مو لیزر,2.5,0,,
task01_00135,sent_004438,انحراف پا تحت درمان,0,topup_pref,جراح و متخصص ارتوپدی و فلوشیپ ارتوپدی کودکان,2.5,0,,
task01_00136,sent_002566,کیست داشتم هنوز پیگیرم,0,rate_neg,فلوشیپ انکولوژی زنان ( سرطان شناسی ),2.5,0,,
task01_00137,sent_007068,برای لوزه هام رفتم قرص دادند بر طرف شد ولی چند ماه باید قرص مصرف کنم و در صورتی که خوب نشد عمل انجام میدن,0,topup_pref,متخصص گوش و حلق و بینی,2.5,0,,
task01_00138,sent_003851,من ویزیت نشدم ولی همینطوری بهشون معمولی نظر دادم,0,service_neg,متخصص پوست و مو,2.5,0,,
task01_00139,sent_007077,درد دست هنوز یکباررفتم,0,rate_neg,فلوشیپ جراحی شانه و آرنج,2.5,1,,
task01_00140,sent_007683,جوش صورت و درمان شد و دخترم زخم صورت و با کمترین هزینه درمان شد,1,mid_neg,متخصص پوست و مو,5,0,,
task01_00141,sent_000908,مطب شلوغ علافی زیاد تازه ویزیت شدم و دارو گرفتم,0,high_neg,"جراح و متخصص زنان ، زایمان و نازایی",2.5,0,,
task01_00142,sent_002848,عمل بینی عاای,0,random,متخصص و جراح گوش و حلق و بینی,5,0,,
task01_00143,sent_006652,باعرض سلام من محمدرضا آزادی هستم هفت بهمن عمل رباط صلیبی و منیسک پای راستم پیش دکتر شهرستانی انجام دادم کرمانشاه زندگی می‌کنم توی شهر خودم حقیقت به هیچ پزشکی اعتماد نداشتم اما من عملهای دکتر شهرستانی هم ازاینستاگرام دیدم و هم توی مطب باهاشان صحبت کردم خوشبختانه بارضایت کامل رفتم پیش دکتر وعمل پام انجام داد خدا رو شکر الان حدودپنج هفته از عملم میگذره خوب خوبم واز دکتر تشکر ویژه دارم خدا بهت سلامتی وعزت بده,1,service_neg,متخصص جراحی استخوان و مفاصل(ارتوپد),5,0,,
task01_00144,sent_002170,کاشت مو,0,mid_neg,"متخصص پوست و مو ، لیزر",5,0,,
task01_00145,sent_005652,انتظار زیاد,0,service_neg,متخصص اورولوژی ( جراح کلیه و مجاری ادرار ),2.5,0,,
task01_00146,sent_006212,قاعدگی نامنظم فعلا نتیجه نگرفتم,-1,high_neg,جراح و متخصص زنان و زایمان و نازایی,2.5,0,,
task01_00147,sent_000646,جراحی زیبایی بینی,0,rate_neg,متخصص گوش و حلق و بینی,2.5,0,,
task01_00148,sent_005583,فقط یک‌بار ویزیت شدم برخورد ایشان مطلوب و مسوولانه بود,0,service_neg,"جراح گوش ، حلق و بینی",2.5,0,,
