item_id,doctor_id,specialty,rate,label,bucket,neg_score,neg_score_kw,neg_score_rate,neg_hits,pos_score,pos_score_kw,pos_score_rate,pos_hits,has_service_term,has_service_neg_cue,n_words,n_chars,text_label,text_for_tfidf,label_human,label_human_note,rater_id,label_llm,llm_confidence,llm_rationale_short,src_row_id,label_human_int,label_weak,weak_confidence,weak_reason,label_final
sent_000426,236556,متخصص پوست ، مو ، لیزر و زیبایی,2.5,0,high_neg,4.800000000000001,3.2,1.6,long_wait|money,1.0,1.0,0.0,kind,1,0,70,346,سلام دکتر آرام و متینی هستند با حوصله هستند دخترم هنوز در پروسه درمان است و انشالله منتظر نتیجه هستیم ایرادی که می شود بر کار ایشان گرفت که از این ماه نسخه الکترونیک ثبت نمی کنند و معتقدند که مربوط به زیبایی است در صورتیکه ما هر ماه برای بیمه تکمیلی هزینه پرداخت می کنیم و شرط استفاده از بیمه ثبت نسخه الکترونیک است که عدم ثبت آن به ضرر بیمار است,سلام دکتر آرام متینی حوصله دخترم پروسه درمان انشالله منتظر نتیجه ایرادی کار ماه نسخه الکترونیک ثبت نمی‌کنند معتقدند زیبایی صورتیکه ماه بیمه تکمیلی هزینه پرداخت شرط استفاده بیمه ثبت نسخه الکترونیک ثبت ضرر بیمار,,,,,,,35564,1.0,0,0.45,default_neu,1.0
sent_000436,104548,فوق تخصص مغز و اعصاب کودکان ، استاد دانشگاه,2.5,0,topup_pref,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,3,21,فعلا نتیجه ای نگرفتیم,فعلا نتیجه‌ای نگرفتیم,,,,,,,1659,0.0,0,0.45,default_neu,0.0
sent_000469,319788,جراح و متخصص ارتوپدی - فلوشیپ جراحی زانو,2.5,0,topup_pref,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,6,29,مشکل زانو هنوز در جریان درمان,مشکل زانو درمان,,,,,,,56949,0.0,0,0.45,default_neu,0.0
sent_000479,330891,جراح و متخصص ارتوپدی,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,8,38,من برای درد دستم رفتم برخورد خوبی داشت,درد دستم رفتم برخورد,,,,,,,63529,1.0,0,0.45,default_neu,1.0
sent_000527,327151,متخصص جراحی زنان و زایمان و نازایی,5.0,1,topup_pref,0.0,0.0,0.0,,3.2,2.3,0.9,thanks|kind,1,0,27,127,سلام خانم دکتر با اخلاق و مومن که با حوصله به حرفهای من گوشداد و به من آرامش داد متشکرم توصیه می کنم حتما ویزیت بشید توسط ایشون,سلام خانم دکتر اخلاق مومن حوصله حرفهای گوشداد آرامش متشکرم توصیه حتما ویزیت بشید توسط ایشون,,,,,,,62190,1.0,1,0.8759999999999999,pos_kw,1.0
sent_000548,125913,متخصص پوست و مو و زیبایی,5.0,1,mixed,2.0,2.0,0.0,no_improve,6.5,5.6,0.9,strong_positive|thanks|improved,0,0,29,143,من مشکل پوستی در کشاله ران داشتم و اگزاما دکتر های زیادی رفتم که اصلا فایده نداشت با یک نسخه ایشان کاملا خوب شدم عالی عالی عالی ممنونم از ایشون,مشکل پوستی کشاله ران داشتم اگزاما دکتر‌های رفتم اصلا فایده نداشت نسخه شدم ممنونم ایشون,,,,,,,15088,1.0,0,0.45,default_neu,1.0
sent_000567,320397,جراح و متخصص زنان و زایمان,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,4,21,تحت درمان اندامتریو ز,درمان اندامتریو,,,,,,,57870,0.0,0,0.45,default_neu,0.0
sent_000592,113197,متخصص بیماری های مغز و اعصاب,2.5,0,high_neg,3.6,2.0,1.6,no_improve,0.0,0.0,0.0,,0,0,5,27,قرص های که می خورم بدتر شدم,قرص‌های می‌خورم بدتر شدم,,,,,,,7597,-1.0,-1,0.84,neg_kw,-1.0
sent_000612,219073,فلوشیب زانو و آسیبهای ورزشی شانه و زانو,2.5,0,high_neg,4.800000000000001,3.2,1.6,long_wait|money,0.0,0.0,0.0,,1,0,17,79,مطب خیلی شلوغ هست و وقت ها خیلی تو هم تو هم هزینه قطعات مورد استفاده واقعا زیاد,مطب شلوغ هست وقت‌ها هزینه قطعات استفاده واقعا,,,,,,,28658,-1.0,-1,0.95,neg_kw,-1.0
sent_000613,120622,متخصص گوش و حلق و بینی,5.0,1,high_pos,0.0,0.0,0.0,,3.4,2.5,0.9,strong_positive,0,0,29,160,گوش درد به دلیل عفونت وحساسیت دارم در حال درمان هستم ونتیجه رضایت بخشی ازدرمان دارم درضمن اخلاق وبرخورد خانم دکتربسیار عالی است که به نطرمن بخش مهمی ازدرمان است,گوش‌درد دلیل عفونت وحساسیت دارم درمان هستم ونتیجه رضایت ازدرمان دارم درضمن اخلاق وبرخورد خانم دکتربسیار نطرمن مهمی ازدرمان,,,,,,,12532,1.0,1,0.8999999999999999,pos_kw,1.0
sent_000646,191607,متخصص گوش و حلق و بینی,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,3,17,جراحی زیبایی بینی,جراحی زیبایی بینی,,,,,,,23127,0.0,0,0.75,informational,0.0
sent_000663,200998,متخصص جراحی مغز و اعصاب,5.0,1,mixed,1.4,1.4,0.0,money,2.5,1.6,0.9,skilled,1,0,7,28,دکتر خوب و حاذق و ویزیت گران,دکتر حاذق ویزیت گران,,,,,,,24607,1.0,0,0.55,mixed,1.0
sent_000677,103130,فلوشیپ جراحی دست,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,4,20,فعلا تحت درمان هستیم,فعلا درمان,,,,,,,831,0.0,0,0.45,default_neu,0.0
sent_000696,304018,متخصص پوست ، مو ، زیبایی و لیزر,2.5,0,high_neg,5.6,4.0,1.6,rude_behavior|long_wait,0.0,0.0,0.0,,1,0,25,117,بسیار با تاخیر بود و حدودا دو ساعت تاخیر وجود داشت که اینگونه نوبت دهی توجیهی ندارد و توهین به زمان و وقت مراجعین است,تاخیر حدودا ساعت تاخیر اینگونه نوبت دهی توجیهی توهین زمان وقت مراجعین,,,,,,,52062,-1.0,-1,0.95,neg_kw,-1.0
sent_000702,102727,متخصص زنان و زایمان ( فلوشیپ نازایی )، IVF و لاپاراسکوپی,2.5,0,topup_pref,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,3,13,در حال درمانم,درمانم,,,,,,,658,0.0,0,0.75,informational,0.0
sent_000714,220532,متخصص مغز و اعصاب (نورولوژیست),5.0,1,mixed,1.8,1.8,0.0,long_wait,3.5,2.6,0.9,skilled|kind,1,1,11,57,خوش اخلاق با حوصله حاذق کم خرج بدون معطلی در کل راضی هستم,خوش‌اخلاق حوصله حاذق کم‌خرج بدون معطلی راضی هستم,,,,,,,29920,1.0,0,0.45,default_neu,1.0
sent_000786,220440,فوق تخصص مغز و اعصاب کودکان,2.5,0,high_neg,3.4000000000000004,1.8,1.6,long_wait,0.0,0.0,0.0,,1,0,29,133,سلام بیشتر از دو ساعت تو مطب منتظر موندیم با اینکه تماس گرفتم گفتن سر تایم خودتون اینجا باشید وقت ما ساعت 6 بود تا ساعت 8 اونجا بودیم,سلام ساعت مطب منتظر موندیم تماس گرفتم گفتن سر تایم خودتون باشید وقت ساعت ساعت اونجا بودیم,,,,,,,29814,0.0,-1,0.816,neg_kw,0.0
sent_000791,336354,جراح و متخصص استخوان و مفاصل - ارتوپدی,2.5,0,high_neg,3.4000000000000004,1.8,1.6,long_wait,0.0,0.0,0.0,,1,0,6,26,خوب بود معطلی در مطب زیاده,معطلی مطب زیاده,,,,,,,65283,0.0,-1,0.816,neg_kw,0.0
sent_000806,199002,جراح و متخصص زنان زایمان و نازایی,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,2,11,مناظر نایجپ,مناظر نایجپ,,,,,,,24354,0.0,0,0.75,informational,0.0
sent_000832,223561,متخصص پوست ، مو و لیزر,2.5,0,topup_pref,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,10,52,برای جوش های صورتم مراجعه کردم و فعلا تحت درمان هستم,جوش‌های صورتم مراجعه فعلا درمان هستم,,,,,,,30953,0.0,0,0.45,default_neu,0.0
sent_000833,208588,متخصص ارتوپدی - جراحیهای تخصصی زانو و لگن - تعویض مفصل,5.0,1,high_pos,0.0,0.0,0.0,,4.4,3.5,0.9,strong_positive|kind,0,0,26,123,عرض سلام و ادب و احترام بنده دفعه اول بود که مراجعه کردم خیلی باحوصله جواب میده وتوضیحات شون در باره مشکلی ک داشتم عالی بود,عرض سلام ادب احترام بنده دفعه مراجعه باحوصله جواب میده وتوضیحات شون مشکلی داشتم,,,,,,,26018,1.0,1,0.95,pos_kw,1.0
sent_000841,221018,متخصص بیماری های پوست و مو,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,4,22,بیماری نسبتا کنترل شده,بیماری نسبتا کنترل,,,,,,,30181,0.0,0,0.45,default_neu,0.0
sent_000856,112601,متخصص مغز و اعصاب و ستون فقرات,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,2,10,راضی نیستن,راضی نیستن,,,,,,,7153,-1.0,0,0.75,informational,-1.0
sent_000867,214789,متخصص گوش و حلق و بینی جراحی پلاستیک,2.5,0,high_neg,4.2,2.6,1.6,strong_negative,0.0,0.0,0.0,,0,0,4,13,خیلی بد بود 0,بد,,,,,,,28201,-1.0,-1,0.9119999999999999,neg_kw,-1.0
sent_000872,261269,متخصص جراحی مغز و اعصاب دیسک و ستون فقرات,5.0,1,mid_neg,2.0,2.0,0.0,no_improve,0.9,0.0,0.9,,1,0,6,33,یکبار ویزیت شدم هنوز نتیجه نگرفتم,یکبار ویزیت شدم نتیجه نگرفتم,,,,,,,43137,0.0,-1,0.84,neg_kw,0.0
sent_000884,129353,فلوشیپ نازایی,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,2,9,دکتر خووب,دکتر خووب,,,,,,,17929,1.0,0,0.75,informational,1.0
sent_000898,320397,جراح و متخصص زنان و زایمان,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,4,18,در اینستا آشنا شدم,اینستا آشنا شدم,,,,,,,57860,0.0,0,0.45,default_neu,0.0
sent_000906,340754,متخصص پوست و مو,5.0,1,random,0.0,0.0,0.0,,0.9,0.0,0.9,,0,0,2,9,بین نظیرن,نظیرن,,,,,,,66052,1.0,0,0.75,informational,1.0
sent_000908,319817,جراح و متخصص زنان ، زایمان و نازایی,2.5,0,high_neg,3.4000000000000004,1.8,1.6,long_wait,0.0,0.0,0.0,,1,0,10,47,مطب شلوغ علافی زیاد تازه ویزیت شدم و دارو گرفتم,مطب شلوغ علافی تازه ویزیت شدم دارو گرفتم,,,,,,,57077,0.0,-1,0.816,neg_kw,0.0
sent_000948,330360,متخصص جراحی مغز و اعصاب,2.5,0,service_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,1,0,5,21,فعلا که فقط ویزیت شدم,فعلا ویزیت شدم,,,,,,,63188,0.0,0,0.45,default_neu,0.0
sent_001025,250071,متخصص و جراح ارتوپدی,5.0,1,high_pos,0.0,0.0,0.0,,3.4,2.5,0.9,strong_positive,0,0,18,84,پدرم استخوان فمور عمل کردند و خدا رو شکر دکتر عملی خوب و عالی برای ایشان انجام دادند,پدرم استخوان فمور عمل خدا شکر دکتر عملی انجام,,,,,,,39934,1.0,1,0.8999999999999999,pos_kw,1.0
sent_001026,326096,متخصص زنان و زایمان,5.0,1,mid_neg,1.8,1.8,0.0,long_wait,1.9,1.0,0.9,kind,0,0,14,79,سلام دکتر بسیار با اخلاق ومهربان من تازه مراجعه کردم ومنتظر جواب ازمایشاتم هستم,سلام دکتر اخلاق ومهربان تازه مراجعه ومنتظر جواب ازمایشاتم هستم,,,,,,,61674,1.0,0,0.45,default_neu,1.0
sent_001077,128089,فلوشیپ پریناتولوژی - طب مادر و جنین,2.5,0,mixed,3.4000000000000004,1.8,1.6,long_wait,1.6,1.6,0.0,skilled,1,0,29,131,مطب خیلی تمیز تایم انتظار با اینکه خلوت بود طولانی و ماما اول کلی صحبت کرد بامن و سپس بعد کلی معطلی خانم دکتر بنظر متخصص و خوب میان,مطب تمیز تایم انتظار خلوت طولانی ماما صحبت بامن معطلی خانم دکتر بنظر متخصص,,,,,,,17226,1.0,0,0.55,mixed,1.0
sent_001082,304018,متخصص پوست ، مو ، زیبایی و لیزر,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,2,10,شروع درمان,درمان,,,,,,,52094,0.0,0,0.75,informational,0.0
sent_001119,257364,متخصص جراحی کلیه و مجاری اداری ( ارولوژی ),5.0,1,mixed,1.4,1.4,0.0,money,3.7,2.8,0.9,kind|improved,1,0,87,439,برای درمان زگیل تناسلی بهشون مراجعه کردم در مرحله اول درمان کاملا نتیجه رضایت بخشی گرفتم و درمان شدم زگیل ها از بین رفتن و جاش هم دیگه نمونده و ویزیت های دوره ای رو برای چکاپ پیششون میرم بسیار خوش برخورد و با حوصله براتون توضیح میدن و تو کار و تشخصیشونم هم دقیق هستن دکتر با صحبت هاشون و اطلاعاتشون باعث روحیه دادن به بنده شدن و با اطمنیان خاطری که ایجاد کردن باعث دفع نگرانی هام راجب این بیماری شدن امیدوارم هر جا هستند موفق و سلامت باشند,درمان زگیل تناسلی بهشون مراجعه مرحله درمان نتیجه رضایت گرفتم درمان شدم زگیل‌ها رفتن جاش دیگه نمونده ویزیت‌های دوره‌ای چکاپ پیششون میرم خوش‌برخورد حوصله براتون توضیح میدن کار تشخصیشونم دقیق هستن دکتر صحبت هاشون اطلاعاتشون روحیه بنده اطمنیان خاطری ایجاد دفع نگرانی هام راجب بیماری امیدوارم موفق سلامت,,,,,,,42394,1.0,0,0.45,default_neu,1.0
sent_001129,110161,متخصص جراحی استخوان و مفاصل(ارتوپد),2.5,0,service_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,1,0,4,20,من شماره مطب می خوام,شماره مطب می‌خوام,,,,,,,5531,0.0,0,0.45,default_neu,0.0
sent_001136,326096,متخصص زنان و زایمان,5.0,1,mixed,1.6,1.6,0.0,disappointed_soft,3.4,2.5,0.9,strong_positive,1,1,39,196,من امروز مطب بودم مطب تمیز مرتب با یه خانم منشی عالی خوش برخورد مرتب من به دلیل بیماری که دارم مجبورم دکترهای زیادی رفتم ولی از برخورد منشی راضی نبودم ولی امروز با برخورد منشی خانم شیخ روحیه گرفتم,امروز مطب بودم مطب تمیز مرتب یه خانم منشی خوش‌برخورد مرتب دلیل بیماری دارم مجبورم دکترهای رفتم برخورد منشی راضی نبودم امروز برخورد منشی خانم شیخ روحیه گرفتم,,,,,,,61734,1.0,0,0.45,default_neu,1.0
sent_001154,305568,فلوشیپ ارتوپدی و جراحی ستون فقرات,2.5,0,high_neg,3.0,1.4,1.6,money,0.0,0.0,0.0,,1,0,39,184,دکتر خیلی گرونیه تایم ویزیتشون هم خیلی کمه انگار عجله دارن همه چی انجام بشه زود و بره ولی در تشخیص ایشون میدونم که کار درسته و قبلا من ربات زانوم پاره شده بود خیلی زود ایشون سرپام کردن,دکتر گرونیه تایم ویزیتشون کمه انگار عجله دارن چی انجام بشه زود بره تشخیص ایشون میدونم کار درسته قبلا ربات زانوم پاره زود ایشون سرپام,,,,,,,52929,-1.0,-1,0.768,neg_kw,-1.0
sent_001158,102727,متخصص زنان و زایمان ( فلوشیپ نازایی )، IVF و لاپاراسکوپی,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,3,19,تحت درمانم ناباروری,درمانم ناباروری,,,,,,,580,0.0,0,0.75,informational,0.0
sent_001211,131273,متخصص ارتوپدی ( جراح استخوان و مفاصل ),2.5,0,service_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,1,0,11,54,فقط فعلا یه بار ویزیت شدم هنوز به مرحله ی درمان نرسیدم,فعلا یه ویزیت شدم مرحله‌ی درمان نرسیدم,,,,,,,19971,0.0,0,0.45,default_neu,0.0
sent_001240,178917,متخصص زنان و زایمان ، نازایی,5.0,1,topup_pref,0.0,0.0,0.0,,0.9,0.0,0.9,,1,0,17,85,مشکل هورمونی داشتم که خدارو شکر راضی بودم از رفتن به مطب ایشون چون باردار شدم ندونسته,مشکل هورمونی داشتم خدارو شکر راضی بودم رفتن مطب ایشون باردار شدم ندونسته,,,,,,,21129,1.0,0,0.45,default_neu,1.0
sent_001264,326196,متخصص گوش و حلق و بینی,2.5,0,service_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,1,0,8,40,یک جلسه رفتم و نوبت آندوسکوپی بینی گرفتم,جلسه رفتم نوبت آندوسکوپی بینی گرفتم,,,,,,,61861,0.0,0,0.45,default_neu,0.0
sent_001271,106162,متخصص زنان و زایمان,5.0,1,high_pos,0.0,0.0,0.0,,4.4,3.5,0.9,strong_positive|kind,0,0,7,35,عالی و خوش اخلاق با حوصله وبا تجربه,خوش‌اخلاق حوصله وبا تجربه,,,,,,,2585,1.0,1,0.95,pos_kw,1.0
sent_001282,103646,متخصص جراحی کلیه و مجاری ادراری,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,7,35,ختنه بود راضی بودم مشکل خاصی نداشتم,ختنه راضی بودم مشکل خاصی نداشتم,,,,,,,1304,1.0,0,0.45,default_neu,1.0
sent_001296,313469,متخصص بیماری های پوست و مو,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,10,54,کرم ژانولوما دادن برا لکهام قرمز شده ننیدونم چیکار کنم,کرم ژانولوما برا لکهام قرمز ننیدونم چیکار,,,,,,,54897,0.0,0,0.45,default_neu,0.0
sent_001314,130762,متخصص جراحی کلیه ، مجاری ادراری و تناسلی,2.5,0,high_neg,3.6,2.0,1.6,no_improve,0.0,0.0,0.0,,0,0,4,21,نعوظ ولی نتیجه نگرفتم,نعوظ نتیجه نگرفتم,,,,,,,19237,-1.0,-1,0.84,neg_kw,-1.0
sent_001331,318875,جراح و متخصص گوش و حلق و بینی,5.0,1,random,0.0,0.0,0.0,,0.9,0.0,0.9,,0,0,17,81,برای درمان خلط پشت خلق رفتم فرمودن مشکل بنذه از اسید معدس ودارو داد فعلا تحت نظرم,درمان خلط خلق رفتم فرمودن مشکل بنذه اسید معدس ودارو فعلا نظرم,,,,,,,56414,0.0,0,0.45,default_neu,0.0
sent_001363,241705,متخصص پوست و مو,2.5,0,topup_pref,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,3,13,صورتم لک داشت,صورتم لک,,,,,,,38339,0.0,0,0.75,informational,0.0
