item_id,doctor_id,specialty,rate,label,bucket,neg_score,neg_score_kw,neg_score_rate,neg_hits,pos_score,pos_score_kw,pos_score_rate,pos_hits,has_service_term,has_service_neg_cue,n_words,n_chars,text_label,text_for_tfidf,label_human,label_human_note,rater_id,label_llm,llm_confidence,llm_rationale_short,src_row_id,label_human_int,is_gold,label_weak,weak_confidence,weak_reason,label_final
sent_003687,213757,جراح و فلوشیپ سرطان شناسی کلیه و مجاری ادراری ( اوروانکولژیست),2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,3,13,مشکل درد کلیه,مشکل درد کلیه,,,,,,,27801,0,1,0,0.94,informational,
sent_000867,214789,متخصص گوش و حلق و بینی جراحی پلاستیک,2.5,0,high_neg,4.2,2.6,1.6,strong_negative,0.0,0.0,0.0,,0,0,4,13,خیلی بد بود 0,بد,,,,,,,28201,-1,1,0,0.45,default_neu,
sent_000906,340754,متخصص پوست و مو,5.0,1,random,0.0,0.0,0.0,,0.9,0.0,0.9,,0,0,2,9,بین نظیرن,نظیرن,,,,,,,66052,1,1,0,0.94,informational,
sent_005010,123101,جراح و متخصص زنان ، زایمان و نازایی,2.5,0,high_neg,3.4000000000000004,1.8,1.6,long_wait,0.0,0.0,0.0,,1,1,41,190,دکتر مهربون و حرفه ای هستن من حدود 3 ماهه برای عفونت تحت درمانم و باید همچنان ادامه بدم تا ببینم به نتیجه میرسه یا نه فقط اینکه زمان معطلی در مطب برای نوبتم همیشه خیلی زیاده و بیش از 1 ساعته,دکتر مهربون حرفه‌ای هستن ماهه عفونت درمانم ادامه بدم ببینم نتیجه میرسه نه زمان معطلی مطب نوبتم زیاده ساعته,,,,,,,13677,1,1,-1,0.78,neg_kw,
sent_002645,241999,جراح ارتوپد ،فلوشیپ لگن ، ران ، تعویض مفصل,5.0,1,mixed,1.4,1.4,0.0,money,3.4,2.5,0.9,strong_positive,0,0,17,78,دکتر بسیار بسیار عالی است اگر تو عمل هاش توان دیگران را در نظر بگیرد عالی میشه,دکتر عمل هاش توان بگیرد میشه,,,,,,,38715,1,1,1,0.87,pos_kw,
sent_004364,234392,متخصص پوست و مو ، زیبایی و لیزر,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,8,37,در جلسه اول دکتر خوبی به نظر می رسیدن,جلسه دکتر می‌رسیدن,,,,,,,34500,0,1,1,0.78,pos_kw,
sent_003752,100332,متخصص ارتوپدی - تعویض مفصل,2.5,0,high_neg,3.2,1.6,1.6,disappointed_soft,0.0,0.0,0.0,,0,0,6,30,راضی نبودم خیلی دکتر عجولی هست,راضی نبودم دکتر عجولی هست,,,,,,,267,-1,1,-1,0.88,neg_kw,
sent_002713,238666,متخصص پوست و مو و زیبایی و لیزر,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,2,6,تلت 33,تلت 33,,,,,,,36831,0,1,0,0.94,informational,
sent_006569,277985,متخصص مغز و اعصاب (نورولوژی)، عضو انجمن صرع ایران,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,3,14,سلام خوب بودند,سلام,,,,,,,45782,0,1,0,0.45,default_neu,
sent_002714,197479,متخصص مغز و اعصاب ( نورولوژی ),5.0,1,high_pos,0.0,0.0,0.0,,3.4,2.5,0.9,strong_positive,0,0,21,106,بسیار دکتر خوب وتشخیص عالی برای بیماری فشار مغز داشتند وبا دارو خیلی بهتر هستم وچند ماه تحت نظر ایشان هستم,دکتر وتشخیص بیماری فشار مغز وبا دارو هستم وچند ماه هستم,,,,,,,23402,1,1,1,0.95,pos_strong,
sent_006914,325358,متخصص زنان و زایمان,5.0,1,service_neg,0.0,0.0,0.0,,0.9,0.0,0.9,,1,1,21,117,خیلی دکتر مهربون و خوش اخلاق بیمار آروم میکنن بدون هیچ وارد کردن استرسی مطبشون مکانی کاملا آروم با پرسنلی کاملا محترم,دکتر مهربون خوش‌اخلاق بیمار آروم میکنن بدون استرسی مطبشون مکانی آروم پرسنلی محترم,,,,,,,60956,1,1,0,0.45,default_neu,
sent_001892,223843,متخصص و جراح کلیه مجاری ادراری و تناسلی - ارولوژیست,5.0,1,mid_neg,1.8,1.8,0.0,long_wait,1.9,1.0,0.9,kind,1,0,20,102,دکتر مجرب ودانایست کار بلد فقط تومطب خیلی معطلی داره وباید صبور بود من سنگ کلیه داشتم وازشون راضی هستم,دکتر مجرب ودانایست کار بلد تومطب معطلی داره وباید صبور سنگ کلیه داشتم وازشون راضی هستم,,,,,,,31407,1,1,0,0.85,mixed_service,
sent_000567,320397,جراح و متخصص زنان و زایمان,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,4,21,تحت درمان اندامتریو ز,درمان اندامتریو,,,,,,,57870,0,1,0,0.45,default_neu,
sent_000908,319817,جراح و متخصص زنان ، زایمان و نازایی,2.5,0,high_neg,3.4000000000000004,1.8,1.6,long_wait,0.0,0.0,0.0,,1,0,10,47,مطب شلوغ علافی زیاد تازه ویزیت شدم و دارو گرفتم,مطب شلوغ علافی تازه ویزیت شدم دارو گرفتم,,,,,,,57077,0,1,-1,0.78,neg_kw,
sent_004041,233084,متخصص پوست و مو,5.0,1,high_pos,0.0,0.0,0.0,,3.4,2.5,0.9,strong_positive,0,0,10,50,عالی بود من تزریق فیلر انجام دادم و فوق العاده بود,تزریق فیلر انجام دادم فوق‌العاده,,,,,,,34276,1,1,1,0.87,pos_kw,
sent_002587,102727,متخصص زنان و زایمان ( فلوشیپ نازایی )، IVF و لاپاراسکوپی,2.5,0,topup_pref,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,7,32,پزشک خوبی هستن در حال درمان هستم,پزشک هستن درمان هستم,,,,,,,686,1,1,1,0.78,pos_kw,
sent_001792,304018,متخصص پوست ، مو ، زیبایی و لیزر,2.5,0,high_neg,3.6,2.0,1.6,no_improve,0.0,0.0,0.0,,0,0,6,25,ریزس مو و هنوز درمان نشدم,ریزس مو درمان نشدم,,,,,,,51997,0,1,-1,0.8200000000000001,neg_kw,
sent_005484,250114,جراح کلیه، مجاری ادراری، تناسلی و پروستات ، اورولوژی,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,5,24,عمل کردم تحت درمانم هنوز,عمل درمانم,,,,,,,40167,0,1,0,0.94,informational,
sent_002854,330764,متخصص مغز و اعصاب ( نورولوژیست ),5.0,1,service_neg,0.0,0.0,0.0,,3.2,2.3,0.9,thanks|kind,1,1,67,335,با توصیه یکی از آشنایان به مطب ایشان مراجعه نمودم از لحظه ای که آمده ام احساس نشاط و تندرستی و سلامت و ایمنی کامل احساس می کنم این چیزی جز رسالت و تعهد یک پزشک مسئول و دلسوز و مجرب نمی باشد بدین وسیله بر خود فرضی واجب می دانم که از زحمات نامبرده و پرسنل فداکار و مهربان این مجموعه تقدیر و سپاس گزارم با تقدیم احترامات فائقه نورایی نژاد,توصیه آشنایان مطب مراجعه نمودم لحظه‌ای آمده‌ام احساس نشاط تندرستی سلامت ایمنی احساس رسالت تعهد پزشک مسئول دلسوز مجرب نمی‌باشد بدین وسیله فرضی واجب می‌دانم زحمات نامبرده پرسنل فداکار مهربان مجموعه تقدیر سپاس گزارم تقدیم احترامات فائقه نورایی نژاد,,,,,,,63413,1,1,1,0.8400000000000001,pos_kw,
sent_003134,263948,متخصص و جراح زنان و زایمان و نازایی,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,2,9,بعدا میگم,بعدا میگم,,,,,,,43872,0,1,0,0.94,informational,
sent_004990,130745,متخصص زنان و زایمان,5.0,1,mid_neg,1.8,1.8,0.0,long_wait,0.9,0.0,0.9,,1,0,11,54,دکتر خوب و خوش برخورد معطلی در مطب برای ویزیت بسیار کم,دکتر خوش‌برخورد معطلی مطب ویزیت,,,,,,,18796,1,1,1,0.83,pos_kw,
sent_005597,208588,متخصص ارتوپدی - جراحیهای تخصصی زانو و لگن - تعویض مفصل,2.5,0,service_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,1,0,10,50,اصلا ویزیت نشدم 100 تومنم دادم دیگه برگشت داده نشد,اصلا ویزیت نشدم 100 تومنم دادم دیگه برگشت داده_نشد,,,,,,,25923,-1,1,0,0.45,default_neu,
sent_007327,110161,متخصص جراحی استخوان و مفاصل(ارتوپد),5.0,1,mixed,2.6,2.6,0.0,strong_negative,4.7,3.8,0.9,strong_positive|thanks,0,0,69,363,من مادرم وضیت خیلی بدی داشت زانو درد شدید هرشب با گریه های مادرم از خواب بیدار می شدم زندگیم کابوس شده بود و زجه های مادرم دکتر شهرستانی معجزه خدا بود برای زندگی ما مادرم بعد عمل پاش عالی شد مادرم توانایی راه رفتن رو دوباره به دست اورد دکتر شهرستانی ممنونتم واقعا ممنونتونم که با خوشرویی تمام با مریضاتون برخورد می کنی و امید زندگی رو بهمون میدین واقعا یه دونه ای,مادرم وضیت بدی زانو درد شدید هرشب گریه‌های مادرم خواب بیدار می‌شدم زندگیم کابوس زجه‌های مادرم دکتر شهرستانی معجزه خدا زندگی مادرم عمل پاش مادرم توانایی رفتن دست اورد دکتر شهرستانی ممنونتم واقعا ممنونتونم خوشرویی مریضاتون برخورد می‌کنی امید زندگی بهمون میدین واقعا یه دونه‌ای,,,,,,,5547,1,1,1,0.95,pos_strong,
sent_001608,232465,متخصص زنان و زایمان,2.5,0,rate_neg,1.6,0.0,1.6,,2.5,2.5,0.0,strong_positive,0,0,11,53,سلام خانم دکتر بهترین راه ممکن رو به من پیشنهاد دادند,سلام خانم دکتر پیشنهاد,,,,,,,34113,1,1,1,0.87,pos_kw,
sent_006692,120963,جراح گوش ، حلق و بینی,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,7,36,فعلا تحت درمان هستم نظری نمیتونم بدم,فعلا درمان هستم نظری نمیتونم بدم,,,,,,,12718,0,1,0,0.45,default_neu,
sent_004534,103641,فلوشیپ جراحی گوش,2.5,0,high_neg,3.6,2.0,1.6,no_improve,0.0,0.0,0.0,,0,0,3,17,فعلا نتیجه نگرفتم,فعلا نتیجه نگرفتم,,,,,,,1103,0,1,0,0.94,informational,
sent_007220,324444,متخصص مغز و اعصاب و ستون فقرات,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,28,138,برای دیسک کمر و گردن رفتم بعد از دیدن ام ار ای گفتن مشکل خاصی نداری زمان معاینه یجوری رگ سیاتیکمو فشار دادن که تا چند روز یطرفم درد می کرد,دیسک کمر گردن رفتم دیدن‌ام ار‌ای گفتن مشکل خاصی نداری زمان معاینه یجوری رگ سیاتیکمو فشار روز یطرفم درد,,,,,,,60613,0,1,0,0.94,informational,
sent_000806,199002,جراح و متخصص زنان زایمان و نازایی,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,2,11,مناظر نایجپ,مناظر نایجپ,,,,,,,24354,0,1,0,0.94,informational,
sent_003959,273649,متخصص پوست و مو,2.5,0,high_neg,3.4000000000000004,1.8,1.6,long_wait,0.0,0.0,0.0,,0,0,7,39,لیزر تتو انجام دادم فعلا منتظر نتیجه ام,لیزر تتو انجام دادم فعلا منتظر نتیجه‌ام,,,,,,,44920,0,1,0,0.9,early_stage,
sent_007535,319939,متخصص و جراح پوست ، زیبایی و لیزر,2.5,0,high_neg,3.6,2.0,1.6,no_improve,0.0,0.0,0.0,,0,0,17,93,بله prp انجام دادم هنوز کامل نتیجه نگرفتم چون درمان ادامه داره امیدوارم بعدا رضایت داشته باشم,بله prp انجام دادم نتیجه نگرفتم درمان ادامه داره امیدوارم بعدا رضایت داشته_باشم,,,,,,,57307,0,1,0,0.45,default_neu,
sent_003680,320309,متخصص و جراح مغز اعصاب و ستون فقرات,2.5,0,high_neg,3.0,1.4,1.6,money,0.0,0.0,0.0,,1,1,22,104,من تاکید کردم ب اینکه عمل نمیخام بشم ولی منو فرستادن اکو نوار قلب و ریه کاره اشتباهی بود فقط هزینه بیخود,تاکید عمل نمیخام بشم منو فرستادن اکو نوار قلب ریه کاره اشتباهی هزینه بیخود,,,,,,,57608,-1,1,0,0.94,informational,
sent_001626,127990,جراح و متخصص زنان زایمان نازایی,2.5,0,high_neg,3.4000000000000004,1.8,1.6,long_wait,0.0,0.0,0.0,,1,0,15,70,تشخیص خوبی دارن ولی شلوغ هست و دسترسی تلفنی یه مقدار سخت هست به مطبشون,تشخیص دارن شلوغ هست دسترسی تلفنی یه مقدار سخت هست مطبشون,,,,,,,17016,0,1,-1,0.78,neg_kw,
sent_002532,227695,متخصص گوش حلق بینی و جراحی های سرو و گردن .جراحی زیبایی صورت,2.5,0,topup_pref,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,6,27,برای گلو درد و گوش درد رفتم,گلو درد گوش‌درد رفتم,,,,,,,32850,0,1,0,0.45,default_neu,
sent_000241,123948,متخصص مغز و اعصاب و ستون فقرات,2.5,0,topup_pref,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,5,22,در حال حاضر تحت درمانم,حاضر درمانم,,,,,,,14064,0,1,0,0.45,default_neu,
sent_005214,304018,متخصص پوست ، مو ، زیبایی و لیزر,2.5,0,high_neg,3.4000000000000004,1.8,1.6,long_wait,0.0,0.0,0.0,,1,0,29,143,خانم دکتر خوش برخورد بودند و با دقت به سوالات جواب می دادند تنها مساله این بود که ویزیت با دو ساعت معطلی از وقتی انجام شد که قبلا تعیین شده بود,خانم دکتر خوش‌برخورد دقت سوالات جواب می‌دادند مساله ویزیت ساعت معطلی انجام قبلا تعیین‌شده,,,,,,,52089,1,1,0,0.72,mixed,
sent_004462,131109,جراح ارتوپد و فلوشیپ جراحی دست-شانه ،ارنج,2.5,0,topup_pref,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,3,11,تحت درمان ه,درمان,,,,,,,19552,0,1,0,0.94,informational,
sent_003059,102091,متخصص پوست ، مو و لیزر,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,4,18,فعلا که کامل نبوده,فعلا نبوده,,,,,,,500,0,1,0,0.45,default_neu,
sent_002196,131109,جراح ارتوپد و فلوشیپ جراحی دست-شانه ،ارنج,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,3,18,فعلا درحالت معالجه,فعلا درحالت معالجه,,,,,,,19426,0,1,0,0.94,informational,
sent_002234,105720,متخصص پوست و مو و زیبایی ، لیزر,2.5,0,high_neg,3.4000000000000004,1.8,1.6,long_wait,0.0,0.0,0.0,,1,0,63,305,برای درمان آکنه مراجعه کردم از نظر برخورد و اخلاق خانم دکتر و تشخیص رضایت دارم ولی برنامه کارشون در کلینیک بهار اصلا مناسب نیست و برای وقت مراجعین ارزشی قائل نیستن بیش از ظرفیت کاری پزشک پذیرش میکنن و ساعات ویزیت و جراحی از هم تفکیک نشده برای یه ویزیت ساده و نشون دادن جواب آزمایش بیش از 2 ساعت معطلی داره,درمان آکنه مراجعه برخورد اخلاق خانم دکتر تشخیص رضایت دارم برنامه کارشون کلینیک بهار اصلا نیست وقت مراجعین ارزشی قائل نیستن ظرفیت کاری پزشک پذیرش میکنن ساعات ویزیت جراحی تفکیک نشده یه ویزیت ساده نشون جواب آزمایش ساعت معطلی داره,,,,,,,2043,-1,1,-1,0.78,neg_kw,
sent_003813,335783,جراح و متخصص استخوان و مفاصل { ارتوپد },2.5,0,high_neg,3.2,1.6,1.6,disappointed_soft,0.0,0.0,0.0,,0,0,30,146,اونجور که تعریف کرده بودن همه نبودن و خیلی معمولی بود راجب بیماری که دارید به زور باید توضیح بدن و داروهای خیلی معمولی میدن در کل اونقد راضی نبودم,اونجور تعریف نبودن معمولی راجب بیماری دارید زور توضیح بدن داروهای معمولی میدن اونقد راضی نبودم,,,,,,,65052,-1,1,-1,0.88,neg_kw,
sent_004138,300138,جراح و متخصص زنان و زایمان ، نازایی,2.5,0,topup_pref,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,2,10,چکاپ عمومی,چکاپ عمومی,,,,,,,50732,0,1,0,0.94,informational,
sent_000469,319788,جراح و متخصص ارتوپدی - فلوشیپ جراحی زانو,2.5,0,topup_pref,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,6,29,مشکل زانو هنوز در جریان درمان,مشکل زانو درمان,,,,,,,56949,0,1,0,0.45,default_neu,
sent_000791,336354,جراح و متخصص استخوان و مفاصل - ارتوپدی,2.5,0,high_neg,3.4000000000000004,1.8,1.6,long_wait,0.0,0.0,0.0,,1,0,6,26,خوب بود معطلی در مطب زیاده,معطلی مطب زیاده,,,,,,,65283,0,1,0,0.72,mixed,
sent_006228,237373,فلوشیپ جراحی استخوان و مفاصل کودکان (ارتوپدی کودکان),2.5,0,service_neg,1.6,0.0,1.6,,2.5,2.5,0.0,strong_positive,1,1,14,72,بسیار عالی ولی بدیشون اینه که انتر ها ویزیت میکنن با دکتر نمیشه صحبت کرد,بدیشون اینه انتر‌ها ویزیت میکنن دکتر نمیشه صحبت,,,,,,,35767,1,1,1,0.87,pos_kw,
sent_005277,319817,جراح و متخصص زنان ، زایمان و نازایی,5.0,1,service_neg,0.0,0.0,0.0,,1.9,1.0,0.9,kind,1,1,16,71,بسیار دکتر خوب دقیق مهربانی هستن و نوبت دهی به موقع و سر ساعت بدون مشکل,دکتر دقیق مهربانی هستن نوبت دهی موقع سر ساعت بدون مشکل,,,,,,,57086,1,1,1,0.95,pos_strong,
sent_000017,213003,جراح مغز و فلوشیپ دیسک و ستون فقرات,2.5,0,topup_pref,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,3,12,فعلا باید عک,فعلا عک,,,,,,,27245,0,1,0,0.94,informational,
sent_002948,239005,جراح استخوان و مفاصل و ستون فقرات,2.5,0,high_neg,3.4000000000000004,1.8,1.6,long_wait,0.0,0.0,0.0,,1,0,25,112,سلام دکتر خوبی بود و پاسخگویی خوبی داشت ولی زمان معطلی زیاد بود من 4 20 دقیقه وقت گرفته بودم ولی ساعت 6 نوبتم شد,سلام دکتر پاسخگویی زمان معطلی 20 دقیقه وقت گرفته_بودم ساعت نوبتم,,,,,,,36900,0,1,0,0.72,mixed,
sent_003962,122973,جراح و متخصص بیماریهای زنان و زایمان,5.0,1,mixed,2.2,2.2,0.0,misdiagnosis,4.4,3.5,0.9,strong_positive|kind,0,0,37,180,من به چند دکتر مراجعه کرده بودم و اونها با تشخیص اشتباه خیلی منو ترسوندن ولی خانم دکتر کریم پوربا تشخیص عالی و بسیاار با حوصله و آرامش مشکلم رو برام توضیح دادند هنوز تحت درمان هستم,دکتر مراجعه کرده_بودم اونها تشخیص اشتباه منو ترسوندن خانم دکتر کریم پوربا تشخیص بسیاار حوصله آرامش مشکلم برام توضیح درمان هستم,,,,,,,13418,1,1,1,0.75,pos_kw,
sent_001461,235783,فلوشیپ جراحی شانه و آرنج,2.5,0,high_neg,3.0,1.4,1.6,money,0.0,0.0,0.0,,1,0,24,110,دکتر باسواد و سریع متوجه مشکل من ک پارگی تاندون شانه بود فقط مشکل هزینه عمل ک خودش میگیره یکم ب مریض فشار میاد,دکتر باسواد سریع متوجه مشکل پارگی تاندون شانه مشکل هزینه عمل میگیره یکم مریض فشار میاد,,,,,,,34988,0,1,0,0.94,informational,
sent_005706,126812,فلوشیپ جراحی هیپ و لگن,2.5,0,high_neg,4.2,2.6,1.6,strong_negative,0.0,0.0,0.0,,0,0,23,100,عمل تعویض مفصل انجام دادم خوب بود اما راه رفتنم بعد از سه سال طبیعی نشده و بدون عصا خیلی بد راه میرم,عمل تعویض مفصل انجام دادم رفتنم سال طبیعی نشده بدون عصا بد میرم,,,,,,,15854,-1,1,0,0.45,default_neu,
sent_001908,328904,فلوشیپ انکولوژی زنان ( سرطان شناسی ),5.0,1,mid_neg,1.4,1.4,0.0,money,0.9,0.0,0.9,,0,0,51,244,ایشون دکتر با شخصیت خوش برخورد مومن و بسیار کار درست است رحمم میوم بزرگ خود رحم بزرگ شده بود ایشون تخلیه شوند کردن رحم را دوستشون خیلی سبک من خیلی می ترسیدم از درد بعد از عمل ولی خدارا شکر خیلی خوب و راحت بودم و به دیگران هم ایشون را معرفی کردم,ایشون دکتر شخصیت خوش‌برخورد مومن کار درست رحمم میوم رحم بزرگ‌شده ایشون تخلیه رحم دوستشون سبک می‌ترسیدم درد عمل خدارا شکر راحت بودم ایشون معرفی,,,,,,,62686,1,1,1,0.8300000000000001,pos_kw,
sent_001762,277985,متخصص مغز و اعصاب (نورولوژی)، عضو انجمن صرع ایران,2.5,0,high_neg,3.4000000000000004,1.8,1.6,long_wait,0.0,0.0,0.0,,1,0,7,37,عدم مدیریت زمان چند ساعت منتظر موندیم,مدیریت زمان ساعت منتظر موندیم,,,,,,,45826,-1,1,0,0.45,default_neu,
sent_001434,280846,متخصص جراحی کلیه و مجاری ادراری و تناسلی,5.0,1,topup_pref,0.0,0.0,0.0,,4.7,3.8,0.9,strong_positive|thanks,1,0,30,152,ایشونبهترین دکتری هستند که به عمرم دیدم همسر بنده بعداز 12 سال که نازا بودن واسپرمشون صفر بود با جراحی ایشون صاحب یک فرزند پسر شدیم یک دنیا ازشون ممنونم,ایشونبهترین دکتری عمرم دیدم همسر بنده بعداز 12 سال نازا واسپرمشون صفر جراحی ایشون صاحب فرزند پسر شدیم دنیا ازشون ممنونم,,,,,,,46629,1,1,1,0.81,pos_kw,
sent_000948,330360,متخصص جراحی مغز و اعصاب,2.5,0,service_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,1,0,5,21,فعلا که فقط ویزیت شدم,فعلا ویزیت شدم,,,,,,,63188,0,1,0,0.45,default_neu,
sent_003098,255219,متخصص زنان زایمان و نازایی,5.0,1,topup_pref,0.0,0.0,0.0,,3.4,2.5,0.9,strong_positive,1,0,19,94,بنده باردارم هستم و پیش ایشون ویزیت میشم عالی هستن هم خود دکتر هم محیط تمیزشون هم منشی عالیشون,بنده باردارم هستم ایشون ویزیت میشم هستن دکتر محیط تمیزشون منشی عالیشون,,,,,,,41879,1,1,1,0.87,pos_kw,
sent_001282,103646,متخصص جراحی کلیه و مجاری ادراری,2.5,0,rate_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,0,0,7,35,ختنه بود راضی بودم مشکل خاصی نداشتم,ختنه راضی بودم مشکل خاصی نداشتم,,,,,,,1304,1,1,0,0.45,default_neu,
sent_005114,131615,فلوشیپ سرطانهای دستگاه ادراری (کرایو تراپی در مطب),2.5,0,service_neg,1.6,0.0,1.6,,0.0,0.0,0.0,,1,0,5,24,فعلآ در مرحله ویزیت هیتم,فعلآ مرحله ویزیت هیتم,,,,,,,20183,0,1,0,0.45,default_neu,
sent_003180,173666,جراح و متخصص زنان و زایمان و نازایی,2.5,0,high_neg,3.5,1.9,1.6,no_response,0.0,0.0,0.0,,1,0,22,109,خیلی دکتر خوش برخورد و مهربونی هستن وبه سوالات هم جواب میدن فقط منشی که اونجا بود بی اعصابه و درست جواب نمیده,دکتر خوش‌برخورد مهربونی هستن وبه سوالات جواب میدن منشی اونجا اعصابه درست جواب نمیده,,,,,,,20914,1,1,0,0.85,mixed_service,
